case,k,gpg_no_arena_ms,fixed_defer_no_arena_ms,adaptive_setup_no_arena_ms,adaptive_defer_no_arena_warp_agg_ms,adaptive_cold_no_arena_ms,fixed_vs_gpg_speedup,adaptive_cold_vs_gpg_speedup,correctness_pass
netcard_base,1000000,7.212400,24.307000,0.619470,6.695270,7.314740,0.296721,0.986009,1
netcard_d10,1000000,39.151200,138.921000,3.685040,30.599800,34.284840,0.281823,1.141939,1
netcard_d20,1000000,88.156000,160.075000,6.334660,66.254300,72.588960,0.550717,1.214455,1
netcard_d30,1000000,111.161000,105.060000,9.146540,86.841200,95.987740,1.058072,1.158075,1
netcard_d40,1000000,157.362000,110.409000,11.929200,97.091100,109.020300,1.425264,1.443419,1
netcard_d50,1000000,372.665000,116.226000,14.701000,100.874000,115.575000,3.206382,3.224443,1
leon2_base,1000000,12.040600,33.632700,0.630887,9.608430,10.239317,0.358003,1.175918,1
leon2_d10,1000000,54.369500,87.268400,4.000820,38.879100,42.879920,0.623015,1.267948,1
leon2_d20,1000000,259.342000,106.488000,6.735670,57.357600,64.093270,2.435411,4.046322,1
leon2_d30,1000000,4795.250000,1991.450000,9.610680,879.113000,888.723680,2.407919,5.395659,1
leon2_d40,1000000,132.757000,123.666000,12.423400,73.390100,85.813500,1.073513,1.547041,1
leon2_d50,1000000,147.329000,129.096000,15.683000,106.643000,122.326000,1.141236,1.204396,1
leon3mp_base,1000000,13.706200,43.335700,0.631601,11.675300,12.306901,0.316280,1.113700,1
leon3mp_d10,1000000,83.364300,197.817000,3.260300,74.566100,77.826400,0.421421,1.071157,1
leon3mp_d20,1000000,90.565200,186.950000,5.410120,61.343400,66.753520,0.484435,1.356710,1
leon3mp_d30,1000000,122.198000,130.474000,7.816860,83.877100,91.693960,0.936570,1.332672,1
leon3mp_d40,1000000,212.478000,127.755000,10.294300,70.328500,80.622800,1.663168,2.635458,1
leon3mp_d50,1000000,151.353000,78.463600,13.082200,71.646900,84.729100,1.928958,1.786317,1
vga_lcd_base,1000000,7.653640,28.794800,0.410767,7.514710,7.925477,0.265799,0.965701,1
vga_lcd_d10,1000000,48.451400,96.852200,0.607758,38.215800,38.823558,0.500261,1.247990,1
vga_lcd_d20,1000000,109.336000,138.296000,0.949354,74.641100,75.590454,0.790594,1.446426,1
vga_lcd_d30,1000000,75.340900,99.203900,1.295010,46.295800,47.590810,0.759455,1.583098,1
vga_lcd_d40,1000000,98.249200,125.201000,1.753270,92.603600,94.356870,0.784732,1.041251,1
vga_lcd_d50,1000000,125.386000,86.836500,2.370880,58.034300,60.405180,1.443932,2.075749,1
des_perf_base,1000000,24.854000,204.421000,0.391398,25.215400,25.606798,0.121582,0.970602,1
des_perf_d10,1000000,79.079900,139.888000,0.588369,41.700400,42.288769,0.565309,1.869998,1
des_perf_d20,1000000,31.704200,82.084500,0.813033,21.757200,22.570233,0.386239,1.404691,1
des_perf_d30,1000000,73.178900,75.403800,1.134870,52.085900,53.220770,0.970494,1.375006,1
des_perf_d40,1000000,95.437000,73.461700,1.606810,69.657600,71.264410,1.299140,1.339196,1
des_perf_d50,1000000,90.124400,72.862800,2.302160,66.697800,68.999960,1.236906,1.306151,1
cage15,1000000,22.473200,110.691000,2.466320,18.987300,21.453620,0.203026,1.047525,1
M6,1000000,67.956900,74.295000,0.675744,18.288500,18.964244,0.914690,3.583423,1
nlpkkt120,1000000,5.921760,11.484100,2.344610,5.535400,7.880010,0.515649,0.751491,1
netcard_base_x8,1000000,8.653460,420.318000,3.256660,6.638740,9.895400,0.020588,0.874493,1
netcard_base_x16,1000000,35.071100,1715.160000,7.288250,14.622100,21.910350,0.020448,1.600664,1
leon2_base_x8,1000000,22.059600,611.276000,3.109860,13.920200,17.030060,0.036088,1.295333,1
leon2_base_x16,1000000,8.487460,1413.920000,6.548140,9.281050,15.829190,0.006003,0.536190,1
leon3mp_base_x8,1000000,10.188000,465.801000,2.740840,8.222330,10.963170,0.021872,0.929293,1
leon3mp_base_x16,1000000,58.710300,1677.200000,5.823620,21.597300,27.420920,0.035005,2.141077,1
vga_lcd_base_x8,1000000,29.674500,47.634500,0.664949,17.480400,18.145349,0.622962,1.635378,1
vga_lcd_base_x16,1000000,27.554400,72.784200,1.026780,16.411000,17.437780,0.378577,1.580155,1
des_perf_base_x8,1000000,11.870600,58.413300,0.580670,7.202670,7.783340,0.203217,1.525129,1
des_perf_base_x16,1000000,247.690000,474.542000,0.879325,49.155000,50.034325,0.521956,4.950402,1
