outer_step,chain_substep,mode,active_paths,products,products_per_path,switched
1,1,normal,1,9,9.000000,0
2,1,normal,1,47,47.000000,0
3,1,normal,2,75,37.500000,0
4,1,normal,1,41,41.000000,0
5,1,normal,1,43,43.000000,0
6,1,normal,3,118,39.333333,0
7,1,normal,2,73,36.500000,0
8,1,deferred,7,728,104.000000,1
8,2,deferred,7,575,82.142857,0
8,3,normal,7,302,43.142857,1
8,1,normal,1,44,44.000000,0
9,1,normal,16,638,39.875000,0
9,1,normal,2,87,43.500000,0
10,1,normal,39,2552,65.435897,0
10,1,normal,14,610,43.571429,0
10,1,normal,3,127,42.333333,0
10,1,normal,1,36,36.000000,0
11,1,normal,114,4916,43.122807,0
11,1,normal,24,1065,44.375000,0
12,1,normal,286,14201,49.653846,0
12,1,normal,51,2265,44.411765,0
12,1,normal,6,261,43.500000,0
13,1,normal,783,34505,44.067688,0
13,1,normal,223,10243,45.932735,0
13,1,normal,13,588,45.230769,0
13,1,normal,1,36,36.000000,0
14,1,normal,2278,102898,45.170325,0
14,1,normal,734,34014,46.340599,0
14,1,normal,69,3202,46.405797,0
14,1,normal,4,185,46.250000,0
15,1,normal,7750,367181,47.378194,0
15,1,normal,2614,125303,47.935348,0
15,1,normal,330,15340,46.484848,0
15,1,normal,17,775,45.588235,0
15,1,normal,1,54,54.000000,0
16,1,normal,29941,1571981,52.502622,0
16,1,normal,13740,838870,61.053130,0
16,1,normal,3422,223883,65.424605,0
16,1,deferred,684,50359,73.624269,1
16,2,deferred,684,59083,86.378655,0
16,3,deferred,684,53491,78.203216,0
16,4,normal,672,35931,53.468750,1
16,1,normal,129,8005,62.054264,0
16,1,normal,24,1023,42.625000,0
16,1,normal,3,120,40.000000,0
17,1,deferred,273197,31432954,115.056000,1
17,2,deferred,273197,36887686,135.022295,0
17,3,deferred,272156,34694968,127.481915,0
17,4,deferred,262277,33363177,127.205882,0
17,5,deferred,211664,21883524,103.388030,0
17,6,deferred,163994,16027043,97.729447,0
17,7,deferred,141070,12869922,91.230751,0
17,8,deferred,124964,10454788,83.662399,0
17,9,normal,116404,6082819,52.256099,1
17,1,deferred,1210636,274920746,227.087866,1
17,2,deferred,1210636,352925026,291.520346,0
17,3,deferred,1210164,307342773,253.967870,0
17,4,deferred,1202625,331057590,275.279152,0
17,5,deferred,1175403,211372746,179.830021,0
17,6,deferred,1132881,160902812,142.029756,0
17,7,deferred,1080676,116406399,107.716280,0
17,8,normal,1039152,60489818,58.210751,1
17,1,deferred,5709572,1726037790,302.305985,1
17,2,deferred,5709572,1962394939,343.702635,0
17,3,deferred,5709491,1828369198,320.233309,0
17,4,deferred,5706366,1882472416,329.889884,0
17,5,deferred,5696226,1251100367,219.636715,0
17,6,deferred,5655437,680209910,120.275393,0
17,7,deferred,5518778,379995050,68.854926,0
17,8,normal,5442972,213872626,39.293354,1
17,1,deferred,17429841,5825055935,334.200176,1
17,2,deferred,17429841,6214046343,356.517672,0
17,3,deferred,17429833,6098915430,349.912442,0
17,4,deferred,17427417,5757676477,330.380370,0
17,5,deferred,17423565,3217319412,184.653337,0
17,6,deferred,17398188,1182574370,67.971123,0
17,7,normal,17079552,712298264,41.704739,1
17,1,deferred,27725225,9642411322,347.784782,1
17,2,deferred,27725225,9840087128,354.914600,0
17,3,deferred,27725224,10201882930,367.963950,0
17,4,deferred,27724316,7961826486,287.178464,0
17,5,deferred,27723019,3295498126,118.872267,0
17,6,normal,27709545,1162833315,41.965082,1
17,1,deferred,20943766,7376467433,352.203488,1
17,2,deferred,20943766,7491364667,357.689475,0
17,3,deferred,20943766,7883156723,376.396333,0
17,4,deferred,20943541,4412598716,210.690194,0
17,5,deferred,20942727,1334391164,63.716209,0
17,6,normal,20936473,765702981,36.572683,1
17,1,deferred,7082857,2289147575,323.195509,1
17,2,deferred,7082857,2822790418,398.538389,0
17,3,deferred,7082857,2373572557,335.115132,0
17,4,deferred,7082831,922259554,130.210583,0
17,5,normal,7082488,312799540,44.165206,1
17,1,deferred,1047441,325247384,310.516186,1
17,2,deferred,1047441,437960333,418.124107,0
17,3,deferred,1047441,299105386,285.558219,0
17,4,deferred,1047440,79589590,75.984868,0
17,5,normal,1047424,38190080,36.460956,1
17,1,deferred,56733,18686183,329.370613,1
17,2,deferred,56733,22687297,399.895951,0
17,3,deferred,56733,11436473,201.584140,0
17,4,normal,56733,2339093,41.229849,1
17,1,deferred,790,328165,415.398734,1
17,2,deferred,790,259660,328.683544,0
17,3,deferred,790,78981,99.975949,0
17,4,normal,790,30542,38.660759,1
17,1,deferred,5,1818,363.600000,1
17,2,deferred,5,1462,292.400000,0
17,3,deferred,5,426,85.200000,0
17,4,normal,5,189,37.800000,1
