case,k,gpg_no_arena_ms,fixed_defer_no_arena_ms,adaptive_setup_no_arena_ms,adaptive_defer_no_arena_warp_agg_ms,adaptive_cold_no_arena_ms,fixed_vs_gpg_speedup,adaptive_reused_vs_gpg_speedup,adaptive_cold_vs_gpg_speedup,correctness_pass
netcard_base,1000000,7.174870,24.393200,0.713137,6.734800,7.447937,0.294134,1.065343,0.963337,1
netcard_d10,1000000,39.032900,140.513000,3.767060,30.589100,34.356160,0.277789,1.276040,1.136125,1
netcard_d20,1000000,87.978400,159.831000,6.311610,66.133700,72.445310,0.550446,1.330311,1.214411,1
netcard_d30,1000000,111.230000,105.735000,9.131400,86.790100,95.921500,1.051970,1.281598,1.159594,1
netcard_d40,1000000,158.736000,110.436000,11.887000,96.718800,108.605800,1.437357,1.641211,1.461579,1
netcard_d50,1000000,374.096000,115.515000,14.661800,100.877000,115.538800,3.238506,3.708437,3.237839,1
leon2_base,1000000,12.105500,33.587400,0.598501,9.431450,10.029951,0.360418,1.283525,1.206935,1
leon2_d10,1000000,54.431800,87.550600,4.060780,38.976000,43.036780,0.621718,1.396547,1.264774,1
leon2_d20,1000000,259.331000,106.861000,6.670490,57.471300,64.141790,2.426807,4.512357,4.043090,1
leon2_d30,1000000,4772.960000,2030.180000,9.609640,878.155000,887.764640,2.351003,5.435214,5.376380,1
leon2_d40,1000000,132.708000,123.937000,12.435400,73.398700,85.834100,1.070770,1.808043,1.546099,1
leon2_d50,1000000,147.476000,128.659000,15.644600,106.043000,121.687600,1.146255,1.390719,1.211923,1
leon3mp_base,1000000,13.670800,43.490600,0.629025,11.692000,12.321025,0.314339,1.169244,1.109551,1
leon3mp_d10,1000000,83.605700,197.293000,3.226600,74.473300,77.699900,0.423764,1.122626,1.076008,1
leon3mp_d20,1000000,90.628800,186.772000,5.380510,61.294200,66.674710,0.485238,1.478587,1.359268,1
leon3mp_d30,1000000,122.851000,129.640000,7.856380,83.859700,91.716080,0.947632,1.464959,1.339471,1
leon3mp_d40,1000000,212.569000,127.236000,10.360700,70.401300,80.762000,1.670667,3.019390,2.632042,1
leon3mp_d50,1000000,151.156000,78.470200,12.962400,71.325700,84.288100,1.926285,2.119236,1.793326,1
vga_lcd_base,1000000,7.607310,28.894700,0.412309,7.613520,8.025829,0.263277,0.999184,0.947853,1
vga_lcd_d10,1000000,48.536700,97.318900,0.616022,38.815400,39.431422,0.498739,1.250450,1.230914,1
vga_lcd_d20,1000000,109.595000,138.375000,0.928812,74.707400,75.636212,0.792014,1.466990,1.448975,1
vga_lcd_d30,1000000,75.343600,99.179700,1.270780,46.282200,47.552980,0.759668,1.627917,1.584414,1
vga_lcd_d40,1000000,98.329400,125.414000,1.725260,93.160700,94.885960,0.784038,1.055482,1.036290,1
vga_lcd_d50,1000000,125.042000,86.504100,2.392920,58.151900,60.544820,1.445504,2.150265,2.065280,1
des_perf_base,1000000,24.919300,203.435000,0.428107,25.439400,25.867507,0.122493,0.979555,0.963344,1
des_perf_d10,1000000,79.845100,139.637000,0.579258,41.874200,42.453458,0.571805,1.906785,1.880768,1
des_perf_d20,1000000,31.772800,81.849700,0.812624,21.704500,22.517124,0.388185,1.463881,1.411051,1
des_perf_d30,1000000,73.669100,75.054500,1.109480,52.028100,53.137580,0.981541,1.415948,1.386384,1
des_perf_d40,1000000,96.152900,73.456000,1.622230,72.677300,74.299530,1.308986,1.323011,1.294125,1
des_perf_d50,1000000,89.536200,72.869300,2.276930,66.313900,68.590830,1.228723,1.350188,1.305367,1
cage15,1000000,22.429500,111.287000,2.489400,18.776100,21.265500,0.201546,1.194577,1.054737,1
M6,1000000,67.559100,74.290300,0.624448,18.211700,18.836148,0.909393,3.709654,3.586673,1
nlpkkt120,1000000,5.909050,11.457200,2.350290,5.478900,7.829190,0.515750,1.078510,0.754746,1
netcard_base_x8,1000000,8.769000,420.669000,3.220810,6.612540,9.833350,0.020845,1.326117,0.891761,1
netcard_base_x16,1000000,34.853300,1717.730000,7.317660,14.726600,22.044260,0.020290,2.366690,1.581060,1
leon2_base_x8,1000000,22.631100,610.653000,3.104290,13.664600,16.768890,0.037060,1.656185,1.349588,1
leon2_base_x16,1000000,8.590090,1413.910000,6.528010,9.312080,15.840090,0.006075,0.922467,0.542301,1
leon3mp_base_x8,1000000,10.126800,464.766000,2.731060,8.291810,11.022870,0.021789,1.221302,0.918708,1
leon3mp_base_x16,1000000,53.959600,1683.000000,5.773320,21.706300,27.479620,0.032062,2.485896,1.963622,1
vga_lcd_base_x8,1000000,29.055000,47.513400,0.656972,17.329300,17.986272,0.611512,1.676640,1.615399,1
vga_lcd_base_x16,1000000,27.625800,72.621400,1.017620,16.681900,17.699520,0.380409,1.656034,1.560822,1
des_perf_base_x8,1000000,11.954500,58.295400,0.577784,7.184070,7.761854,0.205068,1.664029,1.540160,1
des_perf_base_x16,1000000,247.044000,474.796000,0.859898,48.925900,49.785798,0.520316,5.049350,4.962138,1
