case,k,gpg_no_arena_ms,fixed_defer_no_arena_ms,adaptive_setup_no_arena_ms,adaptive_defer_no_arena_warp_agg_ms,adaptive_cold_no_arena_ms,fixed_vs_gpg_speedup,adaptive_reused_vs_gpg_speedup,adaptive_cold_vs_gpg_speedup,correctness_pass
netcard_base,1000000,7.321360,24.432600,0.606086,6.798970,7.405056,0.299655,1.076834,0.988697,1
netcard_d10,1000000,38.862100,144.061000,3.708590,30.641500,34.350090,0.269761,1.268283,1.131354,1
netcard_d20,1000000,88.036600,164.803000,6.270850,66.114900,72.385750,0.534193,1.331570,1.216215,1
netcard_d30,1000000,111.059000,105.630000,9.144850,87.134300,96.279150,1.051396,1.274573,1.153510,1
netcard_d40,1000000,157.968000,111.129000,11.962900,96.994200,108.957100,1.421483,1.628633,1.449818,1
netcard_d50,1000000,372.340000,116.445000,14.670500,101.026000,115.696500,3.197561,3.685586,3.218248,1
leon2_base,1000000,12.136400,33.804200,0.625048,9.512070,10.137118,0.359020,1.275895,1.197224,1
leon2_d10,1000000,55.948700,87.813400,4.037240,38.913900,42.951140,0.637132,1.437756,1.302613,1
leon2_d20,1000000,258.233000,106.925000,6.688150,57.622200,64.310350,2.415085,4.481485,4.015419,1
leon2_d30,1000000,4781.860000,2045.620000,9.562260,880.354000,889.916260,2.337609,5.431747,5.373382,1
leon2_d40,1000000,133.918000,124.576000,12.535600,73.684800,86.220400,1.074990,1.817444,1.553206,1
leon2_d50,1000000,147.356000,129.785000,15.575300,106.039000,121.614300,1.135385,1.389640,1.211667,1
leon3mp_base,1000000,13.893500,43.332600,0.696019,11.612900,12.308919,0.320625,1.196385,1.128734,1
leon3mp_d10,1000000,83.367200,198.033000,3.232690,74.666500,77.899190,0.420976,1.116527,1.070193,1
leon3mp_d20,1000000,90.848200,189.326000,5.377420,61.327300,66.704720,0.479851,1.481366,1.361946,1
leon3mp_d30,1000000,122.539000,130.381000,7.811330,83.489700,91.301030,0.939853,1.467714,1.342143,1
leon3mp_d40,1000000,212.591000,127.563000,10.324100,70.311500,80.635600,1.666557,3.023559,2.636441,1
leon3mp_d50,1000000,152.040000,79.445000,13.073600,71.045200,84.118800,1.913777,2.140046,1.807444,1
vga_lcd_base,1000000,7.722710,28.763900,0.413302,7.422090,7.835392,0.268486,1.040503,0.985619,1
vga_lcd_d10,1000000,48.621900,97.239000,0.611740,38.212700,38.824440,0.500025,1.272402,1.252353,1
vga_lcd_d20,1000000,109.078000,139.491000,0.964674,74.648800,75.613474,0.781972,1.461216,1.442574,1
vga_lcd_d30,1000000,75.840600,99.903100,1.273450,46.086600,47.360050,0.759142,1.645611,1.601362,1
vga_lcd_d40,1000000,98.495900,126.081000,1.718260,93.329400,95.047660,0.781211,1.055358,1.036279,1
vga_lcd_d50,1000000,125.164000,87.583400,2.355550,58.254300,60.609850,1.429084,2.148580,2.065077,1
des_perf_base,1000000,25.227900,204.658000,0.391601,25.277800,25.669401,0.123269,0.998026,0.982800,1
des_perf_d10,1000000,79.032400,141.141000,0.576272,42.052500,42.628772,0.559954,1.879375,1.853968,1
des_perf_d20,1000000,31.638500,83.684500,0.810891,21.657000,22.467891,0.378069,1.460890,1.408165,1
des_perf_d30,1000000,73.747100,76.183300,1.139890,52.206300,53.346190,0.968022,1.412609,1.382425,1
des_perf_d40,1000000,95.328100,73.251800,1.597210,69.545300,71.142510,1.301376,1.370734,1.339960,1
des_perf_d50,1000000,89.929300,73.897700,2.295050,66.579400,68.874450,1.216943,1.350708,1.305699,1
cage15,1000000,22.453400,111.133000,2.456700,18.787700,21.244400,0.202041,1.195112,1.056909,1
M6,1000000,67.924600,74.878900,0.633719,18.306600,18.940319,0.907126,3.710389,3.586244,1
nlpkkt120,1000000,5.970490,11.451600,2.393250,5.494950,7.888200,0.521367,1.086541,0.756889,1
netcard_base_x8,1000000,8.747250,421.057000,3.224380,6.647460,9.871840,0.020775,1.315879,0.886081,1
netcard_base_x16,1000000,34.673700,1717.660000,7.288260,14.711800,22.000060,0.020187,2.356863,1.576073,1
leon2_base_x8,1000000,22.710400,611.660000,3.119710,13.803600,16.923310,0.037129,1.645252,1.341960,1
leon2_base_x16,1000000,8.449150,1414.850000,6.579340,9.333770,15.913110,0.005972,0.905224,0.530955,1
leon3mp_base_x8,1000000,10.165100,465.728000,2.735970,8.286650,11.022620,0.021826,1.226684,0.922204,1
leon3mp_base_x16,1000000,56.605800,1685.690000,5.805160,21.577000,27.382160,0.033580,2.623432,2.067251,1
vga_lcd_base_x8,1000000,28.642800,47.525900,0.650188,17.340600,17.990788,0.602678,1.651777,1.592081,1
vga_lcd_base_x16,1000000,26.960300,72.811600,1.017410,16.625700,17.643110,0.370275,1.621604,1.528092,1
des_perf_base_x8,1000000,11.822600,58.964300,0.572142,7.175330,7.747472,0.200504,1.647673,1.525995,1
des_perf_base_x16,1000000,251.824000,477.419000,0.922971,49.195600,50.118571,0.527470,5.118832,5.024565,1
