case,bound,m0_setup_ms,m0_pfxt_ms,m0_cold_ms,m0_generated_paths,m0_strips,m0_strip_paths,m0_tiles,m0_tile_paths,m0_individual,m0_total,m0_cold_min_ms,m0_cold_max_ms,m1_setup_ms,m1_pfxt_ms,m1_cold_ms,m1_generated_paths,m1_strips,m1_strip_paths,m1_tiles,m1_tile_paths,m1_individual,m1_total,m1_cold_min_ms,m1_cold_max_ms,m2_setup_ms,m2_pfxt_ms,m2_cold_ms,m2_generated_paths,m2_strips,m2_strip_paths,m2_tiles,m2_tile_paths,m2_individual,m2_total,m2_cold_min_ms,m2_cold_max_ms,m3_setup_ms,m3_pfxt_ms,m3_cold_ms,m3_generated_paths,m3_strips,m3_strip_paths,m3_tiles,m3_tile_paths,m3_individual,m3_total,m3_cold_min_ms,m3_cold_max_ms,204_alone_speedup,24_alone_speedup,24_added_speedup,204_added_speedup,both_speedup,m0_bound_speedup,m1_bound_speedup,m2_bound_speedup,m3_bound_speedup
netcard_base,0,0.613894,6.366868,6.980762,1257046.0,0.0,0.0,0.0,0.0,1265120.0,1265120.0,6.96227,7.040571,0.606705,6.358124,6.970843,1257046.0,0.0,0.0,0.0,0.0,1265120.0,1265120.0,6.935657,7.009017,0.614192,5.880101,6.494293,1257046.0,70573.0,1216011.0,0.0,0.0,49109.0,1265120.0,6.489334,6.6627529999999995,0.615601,5.90282,6.5126990000000005,1257046.0,70573.0,1216011.0,0.0,0.0,49109.0,1265120.0,6.442018,6.539657,1.001422926897077,1.0749071530958028,1.0703462573658018,0.9971738291605369,1.0718692818445932,0.9393223623127953,0.935981630661467,0.9131473506423239,0.9226334731821135
netcard_base,1,0.610997,6.820453,7.431699999999999,1225474.0,0.0,0.0,0.0,0.0,1265120.0,1265120.0,7.403805,7.510083999999999,0.621949,6.83674,7.447628,1225474.0,0.0,0.0,0.0,0.0,1265120.0,1265120.0,7.337415,7.65958,0.616695,6.496272,7.111988,1225474.0,70573.0,1216011.0,0.0,0.0,49109.0,1265120.0,6.879841000000001,7.137798,0.618608,6.434075,7.058815,1225474.0,70573.0,1216011.0,0.0,0.0,49109.0,1265120.0,7.031537,7.067736,0.9978613324940504,1.0449539566152248,1.0550819082239724,1.0075328507688615,1.0528254388307385,0.9393223623127953,0.935981630661467,0.9131473506423239,0.9226334731821135
netcard_d10,0,3.692292,29.430452,33.122744,4353439.0,0.0,0.0,0.0,0.0,72089760.0,72089760.0,33.058045,33.144623,3.731521,29.67376,33.405281,4353439.0,0.0,0.0,0.0,0.0,72089760.0,72089760.0,33.079892,34.191773,3.720116,12.894286,16.608584,4353439.0,3478895.0,72062747.0,0.0,0.0,27013.0,72089760.0,16.55726,16.615372999999998,3.705649,13.041667,16.773017,4353439.0,3478895.0,72062747.0,0.0,0.0,27013.0,72089760.0,16.676873,16.792326,0.9915421456864858,1.994314747121127,1.9916083671768772,0.9901965758455978,1.9747636337577192,1.03362023800567,1.0391511079425817,1.0545720580486964,1.0625159475418045
netcard_d10,1,3.67881,28.366561,32.045371,2396640.0,0.0,0.0,0.0,0.0,72089760.0,72089760.0,31.992783000000003,32.266197,3.723501,28.430229,32.146702,2396640.0,0.0,0.0,0.0,0.0,72089760.0,72089760.0,32.10837,32.286628,3.703921,12.045201,15.749122,2396640.0,3478895.0,72062747.0,0.0,0.0,27013.0,72089760.0,15.662804999999999,15.80538,3.703205,12.064658,15.786132,2396640.0,3478895.0,72062747.0,0.0,0.0,27013.0,72089760.0,15.698518,15.931076000000001,0.9968478570523348,2.0347401588482206,2.036388774653601,0.997655537151216,2.029969786138872,1.03362023800567,1.0391511079425817,1.0545720580486964,1.0625159475418045
netcard_d20,0,6.330167,64.026258,70.356425,3757593.0,0.0,0.0,0.0,0.0,187606394.0,187606394.0,70.299578,70.631366,6.309071,63.995438,70.2923,3757593.0,0.0,0.0,0.0,0.0,187606394.0,187606394.0,70.28404499999999,70.483041,6.308318,19.401893,25.710211,3757593.0,7627528.0,187069083.0,0.0,0.0,537311.0,187606394.0,25.531283000000002,25.716651000000002,6.294534,19.373622,25.648109,3757593.0,7627528.0,187069083.0,0.0,0.0,537311.0,187606394.0,25.480079999999997,25.810322999999997,1.0009122620827602,2.736516825941257,2.7406425947425594,1.0024213091109369,2.7431427790641405,1.0105057289508976,1.012860544905754,1.0508994967781877,1.0447108520019073
netcard_d20,1,6.303236,63.29382,69.62496399999999,2470661.0,0.0,0.0,0.0,0.0,187606394.0,187606394.0,69.421465,69.676117,6.312357,63.080036,69.399781,2470661.0,0.0,0.0,0.0,0.0,187606394.0,187606394.0,69.320075,69.474631,6.297155,18.115113,24.464957000000002,2470661.0,7627528.0,187069083.0,0.0,0.0,537311.0,187606394.0,24.321633,24.499913,6.301004,18.203855,24.550438,2470661.0,7627528.0,187069083.0,0.0,0.0,537311.0,187606394.0,24.407671999999998,24.757144,1.0032447220546703,2.845905839932602,2.8268245560425442,0.9965181476599319,2.835996816024219,1.0105057289508976,1.012860544905754,1.0508994967781877,1.0447108520019073
netcard_d30,0,9.099955,109.225841,118.36243400000001,1120011.0,0.0,0.0,0.0,0.0,344867591.0,344867591.0,118.150661,119.569826,9.128507,86.919903,96.04841,1120011.0,0.0,0.0,2030567.0,336580448.0,8287143.0,344867591.0,95.916117,97.522416,9.13424,105.944026,115.078266,1120011.0,3172.0,86938.0,0.0,0.0,344780653.0,344867591.0,114.809518,115.327293,9.074798,84.309151,93.382317,1120011.0,3172.0,86938.0,2030564.0,336582743.0,8197910.0,344867591.0,92.768876,93.45954699999999,1.2323205974986988,1.0285385600092376,1.0285502982325874,1.2323346613899075,1.267503718075447,0.9480562219419657,0.9931305352369425,0.9470345968521685,0.99286541088505
netcard_d30,1,9.135288,115.694982,124.847484,1115803.0,0.0,0.0,0.0,0.0,344867591.0,344867591.0,124.304701,124.977631,9.087573,87.648233,96.71277500000001,1115803.0,0.0,0.0,2030563.0,336581745.0,8285846.0,344867591.0,96.503129,97.233086,9.123157,112.391164,121.51432100000001,1115803.0,3172.0,86938.0,0.0,0.0,344780653.0,344867591.0,121.274857,121.604585,9.136041,84.952637,94.053349,1115803.0,3172.0,86938.0,2030576.0,336585456.0,8195197.0,344867591.0,93.494749,94.573936,1.2909099547603715,1.0274302071769794,1.0282757182840987,1.2919722932992,1.3274113609713143,0.9480562219419657,0.9931305352369425,0.9470345968521685,0.99286541088505
netcard_d40,0,11.856226,145.921474,157.73333,3672596.0,0.0,0.0,0.0,0.0,312541179.0,312541179.0,157.297179,157.927113,11.810482,97.593329,109.40381099999999,3672596.0,0.0,0.0,1940872.0,306989244.0,5551935.0,312541179.0,109.346282,109.54587,11.873751,135.158671,147.03322,3672596.0,40.0,1036.0,0.0,0.0,312540143.0,312541179.0,146.575541,147.070751,11.958971,97.41539,109.37436100000001,3672596.0,40.0,1036.0,1940865.0,306985616.0,5554527.0,312541179.0,108.741244,112.36407,1.4417535235586996,1.0727734181431923,1.0002692587159434,1.3443115795666225,1.4421417282611597,1.061645054045295,1.1040105823902016,1.0658514382934428,1.1056336607254613
netcard_d40,1,11.817073,136.72842,148.57445,2471298.0,0.0,0.0,0.0,0.0,312541179.0,312541179.0,148.262269,149.44056999999998,11.881199,87.215506,99.096705,2471298.0,0.0,0.0,1940866.0,306987950.0,5553229.0,312541179.0,99.08701199999999,99.37489099999999,11.889888,126.059187,137.949075,2471298.0,40.0,1036.0,0.0,0.0,312540143.0,312541179.0,136.910141,138.753266,11.824479,87.13295,98.924594,2471298.0,40.0,1036.0,1940869.0,306988040.0,5552103.0,312541179.0,98.897395,101.500219,1.4992874889230678,1.077023894505998,1.001739820130068,1.3944871484638086,1.5018959794770552,1.061645054045295,1.1040105823902016,1.0658514382934428,1.1056336607254613
netcard_d50,0,14.703476,127.778267,142.470798,2864158.0,0.0,0.0,0.0,0.0,252217451.0,252217451.0,141.368642,142.528155,14.735998,101.519856,116.297711,2864158.0,0.0,0.0,1987155.0,248784724.0,3432727.0,252217451.0,115.691851,116.32857299999999,14.708588,138.169797,152.884121,2864158.0,46.0,1232.0,0.0,0.0,252216219.0,252217451.0,151.058277,152.89450799999997,14.656085,101.956218,116.68865500000001,2864158.0,46.0,1232.0,1987157.0,248784414.0,3431805.0,252217451.0,116.057079,117.889401,1.2250524690034525,0.9318874783601628,0.9966496828676275,1.3101883897796232,1.220948154728495,1.0624470545895395,1.0673901058497361,1.0385947167822842,1.0686436787335627
