case,bound,mode,trial,strips,strip_paths,tiles,tile_paths,individual,total,strip_paths_pct,tile_paths_pct,individual_pct,paths_per_strip,paths_per_tile,record_bytes_per_path
netcard_base,1,3,r1,70573,1216011,0,0,49109,1265120,96.11823384342988,0,3.881766156570128,17.230541425190935,0,2.2704312634374606
netcard_d10,1,3,r1,3478895,72062747,0,0,27013,72089760,99.96252865871658,0,0.03747134128342222,20.714263293373328,0,1.1671809144599732
netcard_d20,1,3,r1,7627528,187069083,0,0,537311,187606394,99.7135966485236,0,0.28640335147638946,24.525519014810566,0,1.0445067026873296
netcard_d30,1,3,r1,3172,86938,2030577,336585456,8195197,344867591,0.025209095394527807,97.59845946208381,2.3763314425216606,27.407944514501892,165.75852873345852,1.7716902948992965
netcard_d40,1,3,r1,40,1036,1940862,306986244,5553899,312541179,0.0003314763204371223,98.22265500572647,1.7770135179531015,25.9,158.1700522757414,1.6933140960602826
netcard_d50,1,3,r1,46,1232,1987153,248783510,3432709,252217451,0.0004884673899903936,98.638499839569,1.361011693041018,26.782608695652176,125.19595119248493,1.933907943586346
netcard_base_x8,1,3,r1,1107,8871,115,1835,893358,904064,0.9812358417103214,0.20297235593940252,98.81579180235028,8.013550135501355,15.956521739130435,23.771126822879797
netcard_base_x16,1,3,r1,553,3850,115,1835,2731356,2737041,0.14066285452063013,0.06704320468710553,99.79229394079226,6.962025316455696,15.956521739130435,23.963570878185603
leon2_base,1,3,r1,51972,757478,0,0,40840,798318,94.88424412326917,0,5.115755876730827,14.574732548295236,0,2.7902264511134662
leon2_d10,1,3,r1,591905,9460390,302305,53247896,15109738,77818024,12.157067879287194,68.4261733502768,19.41675877043601,15.982953345553764,176.13964704520268,5.635065367375558
leon2_d20,1,3,r1,791403,20397316,831337,177580273,18244229,216221818,9.433514244154583,82.12874845035296,8.437737305492455,25.77361470704559,213.608047037483,2.8972465489120993
leon2_d30,1,3,r1,720304,18221529,524493,47091951,20603829,85917309,21.208216612091515,54.81078440201147,23.98099898589701,25.2969982118661,89.7856615817561,7.20199190596158
leon2_d40,1,3,r1,2504685,64181509,342938,30253881,6594984,101030374,63.526943887191784,29.94533208399288,6.527724028815334,25.62458313121211,88.21968110853857,2.854106112682509
leon2_d50,1,3,r1,490,13803,1522586,149329095,18292218,167635116,0.008233954990671526,89.07984112350303,10.911924921506303,28.16938775510204,98.07596746587713,4.471810882392923
leon2_base_x8,1,3,r1,42192,268366,39,614,788746,1057726,25.371977241743135,0.058049059964489856,74.56997369829237,6.360589685248389,15.743589743589743,18.861659824945214
leon2_base_x16,1,3,r1,52560,376077,39,614,1059118,1435809,26.19268997478077,0.04276334804977542,73.76454667716946,7.155194063926941,15.743589743589743,18.58758929634791
leon3mp_base,1,3,r1,34544,671465,0,0,79927,751392,89.36280929261956,0,10.637190707380435,19.43796317739694,0,3.656285933307781
leon3mp_d10,1,3,r1,9391941,157973388,0,0,393704,158367092,99.75139784722447,0,0.24860215277552739,16.82010012626783,0,1.4829815780162208
leon3mp_d20,1,3,r1,10901033,268800102,0,0,1839642,270639744,99.32026169814881,0,0.6797383018511871,24.6582229408901,0,1.1298274062807272
leon3mp_d30,1,3,r1,3728942,100302593,0,0,761499,101064092,99.24651873387434,0,0.7534812661256581,26.89840523129617,0,1.066358801304028
leon3mp_d40,1,3,r1,477274,12569594,1319227,130862723,12047981,155480298,8.084364489705314,84.16675597058607,7.748879539708626,26.33622196055096,99.19651659646141,3.6643126835272724
leon3mp_d50,1,3,r1,85,2283,1397615,181779602,8950214,190732099,0.0011969668513950554,95.30624522723886,4.692557805909743,26.858823529411765,130.064146420867,2.621061890584028
leon3mp_base_x8,1,3,r1,10330,48039,16,253,520246,568538,8.449567135354188,0.044500103774945565,91.50593276087086,4.650435624394966,15.8125,22.403230742712008
leon3mp_base_x16,1,3,r1,134044,607407,16,253,4298172,4905832,12.381324921032762,0.0051571272721935854,87.61351795169504,4.53140013726836,15.8125,21.683671189718687
des_perf_base,1,3,r1,4029,25890,0,0,83779,109669,23.60740045044634,0,76.39259954955365,6.425912137006701,0,19.215931575923918
des_perf_d10,1,3,r1,3082900,51625075,22,345,37448,51662868,99.92684687965833,0.0006677910332039638,0.07248532930846967,16.745621006195464,15.681818181818182,1.4496454203820044
des_perf_d20,1,3,r1,1168599,26736993,22,349,155700,26893042,99.4197421028086,0.0012977334434683887,0.5789601637479316,22.87952753681973,15.863636363636363,1.182003285459488
des_perf_d30,1,3,r1,9468632,242565066,28,443,459881,243025390,99.81058604617402,0.0001822854805417656,0.189231668345435,25.6177519624799,15.821428571428571,0.980514933028191
des_perf_d40,1,3,r1,120,3313,1258360,316478772,13373766,329855851,0.0010043781215207245,95.94456822292354,4.054427398954945,27.608333333333334,251.50097905209955,1.7513065244975752
des_perf_d50,1,3,r1,163,4672,492095,69830995,2327601,72163268,0.0064742079031121485,96.76806072585293,3.225465066243951,28.662576687116566,141.90551621130066,2.165280485911475
des_perf_base_x8,1,3,r1,5349,21396,15,234,680413,702043,3.0476765668199812,0.03333129167301718,96.918992141507,4,15.6,23.447777415343506
des_perf_base_x16,1,3,r1,3044,12176,15,234,277784,290194,4.1958138348828715,0.08063571266118527,95.72355045245594,4,15.6,23.235945608799632
