case,bound,mode,kernels,dram_read_bytes,dram_write_bytes
netcard_d10,0,0,610,4505077504.0,4075087872.0
netcard_d10,0,1,610,4504296192.0,4073690112.0
netcard_d10,0,2,708,382606848.0,508944128.0
netcard_d10,0,3,708,383213824.0,510748416.0
netcard_d10,1,0,634,4615744512.0,3989858560.0
netcard_d10,1,1,634,4614926080.0,3992895232.0
netcard_d10,1,2,732,489015296.0,428406016.0
netcard_d10,1,3,732,489209088.0,431121920.0
netcard_d50,0,0,9769,16725613568.0,13360623616.0
netcard_d50,0,1,10405,1771527168.0,1231036672.0
netcard_d50,0,2,9828,16728666880.0,13363420928.0
netcard_d50,0,3,10464,1776503552.0,1233803264.0
netcard_d50,1,0,9334,17415405056.0,13421256704.0
netcard_d50,1,1,9970,2462716160.0,1141811712.0
netcard_d50,1,2,9393,17422059520.0,13422917120.0
netcard_d50,1,3,10029,2467143680.0,1159448064.0
leon2_d30,0,0,2108,58951828992.0,17749140480.0
leon2_d30,0,1,2191,59041542912.0,15820351744.0
leon2_d30,0,2,2263,57485064448.0,16408754688.0
leon2_d30,0,3,2346,57540961792.0,14492701440.0
leon2_d30,1,0,1957,3704548608.0,5477476608.0
leon2_d30,1,1,2040,3796218880.0,3536098816.0
leon2_d30,1,2,2112,2340811776.0,4119485696.0
leon2_d30,1,3,2195,2419040512.0,2199760128.0
des_perf_base_x16,0,0,343,16694289408.0,10643323136.0
des_perf_base_x16,0,1,358,16674998016.0,10648288768.0
des_perf_base_x16,0,2,346,16663973632.0,10646277376.0
des_perf_base_x16,0,3,361,16631693824.0,10630582528.0
des_perf_base_x16,1,0,354,99319296.0,380879104.0
des_perf_base_x16,1,1,369,99422464.0,379325440.0
des_perf_base_x16,1,2,357,99334656.0,377523968.0
des_perf_base_x16,1,3,372,99402752.0,378605824.0
