case,enabled,trial,setup_ms,pfxt_ms,cold_ms,strips,strip_paths,tiles,tile_paths,individual,total,strip_paths_pct,tile_paths_pct,individual_pct,paths_per_strip,paths_per_tile,record_bytes_per_path
netcard_base,1,coverage,0.618092,6.78578,7.403872,70573,1216011,0,0,49109,1265120,96.11823384342988,0.0,3.881766156570128,17.230541425190935,0,2.2704312634374606
netcard_d10,1,coverage,3.725207,12.746422,16.471629,3478895,72062747,0,0,27013,72089760,99.96252865871658,0.0,0.03747134128342222,20.714263293373328,0,1.1671809144599732
netcard_d20,1,coverage,6.308141,18.969134,25.277275,7627528,187069083,0,0,537311,187606394,99.7135966485236,0.0,0.28640335147638946,24.525519014810566,0,1.0445067026873296
netcard_d30,1,coverage,9.104035,84.882517,93.986552,3172,86938,2030555,336583006,8197647,344867591,0.025209095394527807,97.59774904450212,2.377041860103346,27.407944514501892,165.7591180736301,1.7718477814286702
netcard_d40,1,coverage,11.894678,87.118283,99.012961,40,1036,1940857,306987158,5552985,312541179,0.0003314763204371223,98.22294744719063,1.776721076488932,25.9,158.17093067650012,1.6932406465389318
netcard_d50,1,coverage,14.666668,94.159992,108.82666,46,1232,1987161,248784590,3431629,252217451,0.0004884673899903936,98.63892804150177,1.3605834911082342,26.782608695652176,125.19599066205507,1.9338116457294623
netcard_base_x8,1,coverage,3.220946,8.622564,11.84351,1107,8871,115,1835,893358,904064,0.9812358417103214,0.20297235593940252,98.81579180235028,8.013550135501355,15.956521739130435,23.771126822879797
netcard_base_x16,1,coverage,7.330634,11.310039,18.640673,553,3850,115,1835,2731356,2737041,0.14066285452063013,0.06704320468710553,99.79229394079226,6.962025316455696,15.956521739130435,23.963570878185603
leon2_base,1,coverage,0.718514,8.858826,9.577340000000001,51972,757478,0,0,40840,798318,94.88424412326917,0.0,5.115755876730827,14.574732548295236,0,2.7902264511134662
leon2_d10,1,coverage,4.02454,33.86019,37.884730000000005,591905,9460390,302247,53242450,15115184,77818024,12.157067879287194,68.41917497159784,19.423757149114966,15.982953345553764,176.15542916885857,5.636592931221179
leon2_d20,1,coverage,6.676356,49.418078,56.094434,791403,20397316,831476,177593788,18230714,216221818,9.433514244154583,82.13499897591278,8.431486779932634,25.77361470704559,213.58859185352313,2.895877565880054
leon2_d30,1,coverage,9.570513,101.798262,111.368775,720304,18221529,524439,47075996,20619784,85917309,21.208216612091515,54.79221422076895,23.999569167139533,25.2969982118661,89.76448357196928,7.20632053315357
leon2_d40,1,coverage,12.533478,39.559675,52.093153,2504685,64181509,342925,30247473,6601392,101030374,63.526943887191784,29.938989436978627,6.534066675829588,25.62458313121211,88.20433914121163,2.8556020984342787
