case,enabled,trial,setup_ms,pfxt_ms,cold_ms
netcard_d50,0,overhead_0_0,14.608939,93.951481,108.56042
netcard_d50,1,overhead_0_1,14.742191,93.777001,108.519192
leon3mp_d10,0,overhead_0_0,3.265825,21.530397,24.796222
leon3mp_d10,1,overhead_0_1,3.240537,21.342117,24.582653999999998
des_perf_base,0,overhead_0_0,0.389001,27.996133,28.385134
des_perf_base,1,overhead_0_1,0.393621,27.924905,28.318526
netcard_d50,1,overhead_1_1,14.704436,94.215306,108.919742
netcard_d50,0,overhead_1_0,14.719978,97.191855,111.911833
leon3mp_d10,1,overhead_1_1,3.219637,21.386403,24.60604
leon3mp_d10,0,overhead_1_0,3.346221,21.746862,25.093083
des_perf_base,1,overhead_1_1,0.393652,28.807139,29.200791
des_perf_base,0,overhead_1_0,0.386353,28.529823,28.916176
netcard_d50,0,overhead_2_0,14.63318,95.516673,110.149853
netcard_d50,1,overhead_2_1,14.678549,93.529329,108.20787800000001
leon3mp_d10,0,overhead_2_0,3.211175,21.304245,24.515420000000002
leon3mp_d10,1,overhead_2_1,3.217792,21.136574,24.354366
des_perf_base,0,overhead_2_0,0.388773,28.472035,28.860808000000002
des_perf_base,1,overhead_2_1,0.390831,29.011455,29.402286
