case,gpg_setup_ms,gpg_pfxt_ms,gpg_cold_ms,gpg_query_ms,gpg_candidates,gpg_strips,gpg_represented,gpg_promoted,gpg_cold_min_ms,gpg_cold_max_ms,gpg_candidates_min,gpg_candidates_max,adaptive_setup_ms,adaptive_pfxt_ms,adaptive_cold_ms,adaptive_query_ms,adaptive_candidates,adaptive_strips,adaptive_represented,adaptive_promoted,adaptive_cold_min_ms,adaptive_cold_max_ms,adaptive_candidates_min,adaptive_candidates_max,strip24_setup_ms,strip24_pfxt_ms,strip24_cold_ms,strip24_query_ms,strip24_candidates,strip24_strips,strip24_represented,strip24_promoted,strip24_cold_min_ms,strip24_cold_max_ms,strip24_candidates_min,strip24_candidates_max,bound_setup_ms,bound_pfxt_ms,bound_cold_ms,bound_query_ms,bound_candidates,bound_strips,bound_represented,bound_promoted,bound_cold_min_ms,bound_cold_max_ms,bound_candidates_min,bound_candidates_max,adaptive_speedup_vs_gpg,strip24_speedup_vs_gpg,bound_speedup_vs_gpg,excess_reduction_pct,bound_speedup_vs_strip24
netcard_base,0.0,7.5226,7.5226,5456.54,1257045,0,0,0,7.38094,7.68792,1257045,1257045,0.617073,7.05704,7.674113,5456.69,1257046,0,0,0,7.6505410000000005,7.7116109999999995,1257046,1257046,0.613066,6.36891,6.9819759999999995,5456.51,1257046,70573,1216011,676414,6.943296999999999,7.053112,1257046,1257046,0.624582,6.777215,7.408849,5446.89004,1225474,70573,1216011,676414,7.3630830000000005,7.507183,1225474,1225474,0.9802566107640062,1.0774313747283004,1.015353396998643,12.282626455965085,0.9423833580627705
netcard_d10,0.0,39.9695,39.9695,608.684,4353408,0,0,0,39.8829,40.067,4353408,4353408,3.71152,30.9362,34.64772,607.85,4353439,0,0,0,34.56896,35.14002,4353439,4353439,3.71452,13.9625,17.67722,567.178,4353439,3478895,72062747,2025843,17.438789999999997,17.72709,4353439,4353439,3.689912,12.506514,16.199482,548.166732,2396640,3478895,72062747,2025843,16.196426,16.285489,2396640,2396640,1.153596831191201,2.2610738566358286,2.4673319801213394,58.35200819218718,1.0912213118913308
netcard_d20,0.0,88.6602,88.6602,754.659,2084469,0,0,0,88.345,88.6989,2084469,2084469,6.30936,66.2418,72.54453,751.905,2084474,0,0,0,72.51386,73.02658,2084474,2084474,6.31848,20.3534,26.67188,720.477,3757593,7627528,187069083,2163854,26.47774,26.837229999999998,3757593,3757593,6.279121,18.721836,25.000957,705.759883,2470661,7627528,187069083,2163854,24.851632000000002,25.099679,2470661,2470661,1.2221486582103436,3.324107636956975,3.54627224869832,46.66867082995931,1.0668343615806388
netcard_d30,0.0,113.032,113.032,944.306,1749071,0,0,0,112.83,113.839,1749071,1749071,9.12133,87.6141,96.73812,952.18,1120011,0,0,0,96.70161,96.90753,1120011,1120011,9.11815,84.3575,93.45145,961.851,1120011,3172,86938,7842,93.42965,94.37868,1120011,1120011,9.106483,84.731678,93.82567900000001,962.176341,1115803,3172,86938,7842,93.694867,94.040966,1115803,1115803,1.1684328783730757,1.2095264439449576,1.2047021796666133,3.506345251685261,0.9960114437327972
netcard_d40,0.0,161.38,161.38,1143.88,2230679,0,0,0,161.237,161.918,2230679,2230679,11.8678,97.5532,109.47070000000001,1117.73,3672596,0,0,0,109.3086,109.9437,3672596,3672596,11.9545,97.3382,109.2964,1117.98,3672596,40,1036,187,109.01809999999999,110.5158,3672596,3672596,11.904051,87.033358,98.884669,1104.59627,2471298,40,1036,187,98.872734,99.081768,2471298,2471298,1.4741844164694295,1.4765353662151726,1.6320022267556964,44.94873149551971,1.1052916605303094
netcard_d50,0.0,378.871,378.871,1538.34,8777357,0,0,0,378.855,379.195,8777357,8777357,14.6828,101.728,116.3508,1248.91,2864158,0,0,0,116.348,117.0668,2864158,2864158,14.6584,101.927,116.5854,1251.77,2864158,46,1232,171,116.55539999999999,117.2324,2864158,2864158,14.684371,93.693219,108.35415499999999,1226.69919,1906498,46,1232,171,108.348386,108.683682,1906498,1906498,3.2562818648432152,3.249729382924448,3.496598722956217,51.37225492688924,1.0759661223882002
netcard_base_x8,0.0,8.74968,8.74968,2061.78,2235508,0,0,0,8.69981,8.80956,2235508,2235508,3.21989,7.25686,10.46951,2088.04,2235631,0,0,0,10.39956,10.99788,2235631,2235631,3.21847,7.50247,10.720939999999999,2088.87,2235631,1107,8871,28,10.69065,10.803460000000001,2235631,2235631,3.229111,8.728808,11.957919,2070.71752,1685484,1107,8871,28,11.876052,11.998954000000001,1685484,1685484,0.8357296568798349,0.8161299289054879,0.7317059096988363,44.52356731095286,0.8965556632387289
netcard_base_x16,0.0,33.7346,33.7346,3934.51,17631059,0,0,0,33.532,36.0019,17631059,17631059,7.37221,15.3563,22.71208,3884.89,17632314,0,0,0,22.70611,22.78841,17632314,17632314,7.39681,15.5754,22.97221,3850.64,17632314,553,3850,829,22.93904,23.09614,17632314,17632314,7.369035,11.36259,18.731625,3764.75878,3586124,553,3850,829,18.556008,18.745659,3586124,3586124,1.4853153035741333,1.4684960654634447,1.800943591386225,84.4512074507492,1.2263863919974909
leon2_base,0.0,12.1489,12.1489,8207.97,3897587,0,0,0,11.9405,12.2202,3897587,3897587,0.617759,9.63969,10.254372,8269.2,3897584,0,0,0,10.245475,10.283239,3897584,3897584,0.603467,9.32101,9.94028,8309.12,3897584,51972,757478,616002,9.812668,9.981357000000001,3897584,3897584,0.611754,8.949667,9.561421,8209.35627,1852937,51972,757478,616002,9.492511,9.777927,1852937,1852937,1.1847531960026416,1.2221889121835603,1.2706165746702296,70.56385595723886,1.0396237128351529
leon2_d10,0.0,55.5666,55.5666,629.764,1995489,0,0,0,55.4115,55.607,1995489,1995489,4.01061,39.6529,43.66419,608.204,1995500,0,0,0,43.42631,43.694500000000005,1995500,1995500,3.98435,34.6765,38.65868,620.065,1995500,591905,9460390,45542,38.37795,38.85566,1995500,1995500,3.983466,33.957924,37.94139,619.835961,1670325,591905,9460390,45542,37.821779,38.311403999999996,1670325,1670325,1.2725897354330862,1.437364131418869,1.464537804229102,32.66449020592667,1.018905211432686
leon2_d20,0.0,261.08,261.08,1030.51,4897299,0,0,0,259.663,261.226,4897299,4897299,6.70551,57.7991,64.50737000000001,792.708,1551252,0,0,0,64.48247,64.71301,1551252,1551252,6.67776,49.0081,55.721470000000004,784.803,1551252,791403,20397316,21450,55.42366,55.748419999999996,1551252,1551252,6.712138,49.5532,56.281496999999995,817.757343,1460343,791403,20397316,21450,56.145424000000006,56.871669000000004,1460343,1460343,4.047289480256286,4.685447099654764,4.638824727778652,16.49136873879823,0.990049536173496
