case,pfxt_ms_0,setup_ms_0,cold_setup_pfxt_ms_0,query_ms_0,descriptors_0,represented_0,promoted_0,pfxt_ms_1,setup_ms_1,cold_setup_pfxt_ms_1,query_ms_1,descriptors_1,represented_1,promoted_1,pfxt_ms_speedup,cold_setup_pfxt_ms_speedup,query_ms_speedup
M6,4.441193,0.671525,5.092074,12773.5622,0,0,0,4.571714,0.634069,5.220081,12846.9951,1399,7559,7559,0.9714503138210309,0.975477966721206,0.9942840407870943
cage15,19.920969,2.466579,22.387548,502.966737,0,0,0,12.285649,2.466709,14.748078999999999,495.065201,2126300,19744042,999169,1.6214828374146129,1.5179975642929497,1.0159605966730028
des_perf_base,27.025902,0.382994,27.408896,671.938395,0,0,0,27.887404,0.389905,28.277309,672.075019,4029,25890,25701,0.9691078452479835,0.9692894044479268,0.9997967131702005
des_perf_base_x16,9.056297,0.87198,9.928485,436.6047,0,0,0,9.303782,0.8702,10.173752,437.180479,3044,12176,0,0.9733995272030236,0.9758921782249066,0.9986829718442208
des_perf_base_x8,7.988622,0.584885,8.573507000000001,306.048404,0,0,0,8.029155,0.579635,8.609273,307.728715,5349,21396,0,0.9949517726336086,0.9958456422510938,0.9945396353408228
des_perf_d10,27.852683,0.598744,28.462657,248.923924,0,0,0,14.747237,0.581529,15.338738,235.761928,3082900,51625075,3315073,1.8886712812711968,1.8556061782918518,1.0558274871250628
des_perf_d20,23.255333,0.810405,24.064951,235.846868,0,0,0,12.901278,0.801557,13.701839000000001,225.446966,1168599,26736993,590278,1.8025604130071455,1.7563300079646242,1.0461301484092715
des_perf_d30,61.646569,1.132855,62.76119,295.3947,0,0,0,14.450832,1.118218,15.573943,233.336493,9468632,242565066,593364,4.2659529222954085,4.029884403712021,1.2659601428054377
des_perf_d40,70.748981,1.604847,72.335468,318.390704,0,0,0,70.274727,1.621079,71.895806,318.511546,120,3313,564,1.0067485712182134,1.0061152663063546,0.999620604020427
des_perf_d50,62.825433,2.296083,65.124594,314.271397,0,0,0,62.059514,2.280048,64.34841899999999,315.232523,163,4672,699,1.012341685434404,1.0120620679118784,0.9969510569821501
leon2_base,9.482685,0.607111,10.138996,8261.4863,0,0,0,9.056155,0.616436,9.674876000000001,8206.28932,51972,757478,616002,1.047098354654928,1.047971674262285,1.0067261801098673
leon2_base_x16,11.467989,6.515397,17.983386,4338.45034,0,0,0,11.702192,6.532624,18.230855,4342.83385,52560,376077,16954,0.9799863991293254,0.9864258149165248,0.9989906337310143
leon2_base_x8,10.362079,3.106254,13.468761,2433.95609,0,0,0,10.565185,3.103448,13.682228,2437.93678,42192,268366,186928,0.9807759163706078,0.9843982281248347,0.9983671889965908
leon2_d10,38.636849,3.977168,42.608818,618.924568,0,0,0,33.698845,3.998359,37.730103,615.732915,591905,9460390,45542,1.146533330741751,1.1293056369339887,1.0051835023307143
leon2_d20,58.215063,6.691453,64.944963,825.721546,0,0,0,49.224232,6.654901,55.867996,783.545152,791403,20397316,21450,1.182650508391883,1.1624716769865882,1.0538276497434063
leon2_d30,119.771009,9.529483,129.339879,1062.51431,0,0,0,101.707655,9.538922,111.279616,1043.40961,720304,18221529,307214,1.1776007322162723,1.1622962376146229,1.0183098754476683
leon2_d40,68.19455,12.508806,80.717881,1134.13987,0,0,0,39.189823,12.455825,51.66161699999999,1093.3261,2504685,64181509,630673,1.7401086501462386,1.5624342730116252,1.0373299146521793
leon2_d50,99.449836,15.616363,115.028209,1327.21478,0,0,0,96.257835,15.522875,111.86197,1314.94007,490,13803,1333,1.0331609473659988,1.0283048743017846,1.0093348056539184
leon3mp_base,11.339887,0.656506,12.031825999999999,5976.99329,0,0,0,10.711609,0.635574,11.347183,6002.37917,34544,671465,190422,1.0586539333166474,1.060335944172223,0.9957706970384546
leon3mp_base_x16,11.65267,5.789868,17.435483,3252.23621,0,0,0,12.123938,5.800646,17.927564,3280.15328,134044,607407,46661,0.9611291314752681,0.9725517086426243,0.9914890958998112
