case,pfxt_ms_0,setup_ms_0,cold_setup_pfxt_ms_0,query_ms_0,descriptors_0,represented_0,promoted_0,pfxt_ms_1,setup_ms_1,cold_setup_pfxt_ms_1,query_ms_1,descriptors_1,represented_1,promoted_1,pfxt_ms_speedup,cold_setup_pfxt_ms_speedup,query_ms_speedup
M6,4.400448,0.648008,5.038741,12643.5114,0,0,0,4.599726,0.635149,5.232265,12898.4541,1399,7559,7559,0.9566761150555488,0.963013341258518,0.9802346313733828
cage15,19.869865,2.470325,22.34019,503.887847,0,0,0,12.17322,2.474376,14.647596,497.151438,2126300,19744042,999169,1.6322604043958788,1.5251779199808624,1.0135500141105898
des_perf_base,27.079872,0.387112,27.466184000000002,670.860128,0,0,0,28.015846,0.390718,28.408015,672.548861,4029,25890,25701,0.9665912641010378,0.9668462932028162,0.9974890552970546
des_perf_base_x16,9.125636,0.8729,9.991774,436.106892,0,0,0,9.252489,0.860737,10.113226000000001,435.282557,3044,12176,0,0.9862898513037951,0.9879907756436965,1.001893792863379
des_perf_d40,70.918317,1.617053,72.508696,316.800455,0,0,0,70.094195,1.61427,71.712451,318.163075,120,3313,564,1.0117573502342099,1.011103301991449,0.9957172277141212
leon2_base,9.51621,0.609021,10.126852,8255.74455,0,0,0,8.93713,0.605779,9.547842999999999,8314.74633,51972,757478,616002,1.064794850248346,1.0606429117026748,0.9929039591037048
leon2_d30,120.022542,9.527911,129.595144,1058.79852,0,0,0,102.172119,9.562259,111.75522199999999,1041.67038,720304,18221529,307214,1.1747093353324698,1.1596339005975043,1.0164429557841512
leon3mp_base_x16,11.7633,5.791327,17.547068,3261.9954,0,0,0,12.114217,5.809669,17.923886,3231.32823,134044,607407,46661,0.9710326305034819,0.978976768765434,1.0094905771921534
leon3mp_d50,73.9513,13.029141,86.95111200000001,1060.19397,0,0,0,73.51989,13.051462,86.574747,1052.3197,85,2283,313,1.005867935874224,1.004347283856342,1.0074827735335563
netcard_base_x16,11.116669,7.355839,18.484049,3719.80022,0,0,0,11.393313,7.379132,18.768928,3756.527,553,3850,829,0.9757187395799625,0.9848217756496269,0.9902232088309229
netcard_d10,29.795109,3.716472,33.503569999999996,561.40742,0,0,0,12.609141,3.701166,16.310306999999998,541.316869,3478895,72062747,2025843,2.3629769069915234,2.054134848596044,1.037114215629589
netcard_d50,94.299428,14.700053,108.97512800000001,1230.93526,0,0,0,93.812581,14.700852,108.52812899999999,1231.74799,46,1232,171,1.0051895704692317,1.0041187386543817,0.9993401815902293
nlpkkt120,7.384091,2.368502,9.752593,46086.5935,0,0,0,3.937859,2.39725,6.335109,45603.395,720812,18227437,213150,1.8751537320152905,1.5394514916791486,1.0105956694671527
