case,normal_steps,deferred_steps,switches,recorded_steps
netcard_base,35,0,0,35
netcard_d10,39,0,0,39
netcard_d20,50,0,0,50
netcard_d30,42,117,11,159
netcard_d40,1,476,1,477
netcard_d50,2,476,3,478
leon2_d10,26,84,40,110
leon2_d20,32,138,62,170
leon2_d30,51,60,26,111
leon2_d40,46,62,23,108
leon2_d50,13,459,13,472
leon3mp_d10,41,0,0,41
leon3mp_d20,48,0,0,48
leon3mp_d30,55,0,0,55
leon3mp_d40,45,112,46,157
leon3mp_d50,3,389,3,392
vga_lcd_d10,48,0,0,48
vga_lcd_d20,56,1,2,57
vga_lcd_d30,46,1,2,47
vga_lcd_d40,53,3,4,56
vga_lcd_d50,44,9,16,53
des_perf_d10,49,1,1,50
des_perf_d20,51,1,1,52
des_perf_d30,47,2,3,49
des_perf_d40,7,362,11,369
des_perf_d50,5,330,8,335
cage15,49,0,0,49
M6,14,0,0,14
nlpkkt120,7,0,0,7
