case,gpg_ms,gpg_deferred_ms,adaptive_ms,adaptive_vs_gpg_speedup,gpg_deferred_vs_gpg_speedup,normal_steps,deferred_steps,switches
netcard_base,7.054650,24.412900,6.676280,1.0567,0.2890,35,0,0
netcard_d10,38.899700,147.888000,40.418400,0.9624,0.2630,39,0,0
netcard_d20,87.719400,169.600000,70.617300,1.2422,0.5172,50,0,0
netcard_d30,110.959000,108.035000,89.702200,1.2370,1.0271,42,117,11
netcard_d40,158.316000,126.914000,127.959000,1.2372,1.2474,1,476,1
netcard_d50,375.954000,130.397000,125.024000,3.0071,2.8831,2,476,3
leon2_d10,54.252400,112.345000,69.720600,0.7781,0.4829,26,84,40
leon2_d20,259.080000,131.248000,86.203400,3.0054,1.9740,32,138,62
leon2_d30,4774.530000,3615.250000,2772.700000,1.7220,1.3207,51,60,26
leon2_d40,132.150000,141.849000,103.218000,1.2803,0.9316,46,62,23
leon2_d50,148.586000,145.537000,133.409000,1.1138,1.0209,13,459,13
leon3mp_d10,83.427100,241.996000,77.055400,1.0827,0.3447,41,0,0
leon3mp_d20,90.517900,218.284000,66.686900,1.3574,0.4147,48,0,0
leon3mp_d30,122.004000,139.747000,89.283000,1.3665,0.8730,55,0,0
leon3mp_d40,211.480000,134.271000,97.323600,2.1730,1.5750,45,112,46
leon3mp_d50,151.593000,81.135900,78.594100,1.9288,1.8684,3,389,3
vga_lcd_d10,48.734000,105.343000,44.933300,1.0846,0.4626,48,0,0
vga_lcd_d20,109.068000,166.206000,94.761900,1.1510,0.6562,56,1,2
vga_lcd_d30,75.498700,108.381000,50.737300,1.4880,0.6966,46,1,2
vga_lcd_d40,98.320200,158.175000,109.904000,0.8946,0.6216,53,3,4
vga_lcd_d50,125.331000,98.423600,63.582300,1.9712,1.2734,44,9,16
des_perf_d10,80.433200,171.143000,73.327300,1.0969,0.4700,49,1,1
des_perf_d20,31.640700,85.471500,24.516600,1.2906,0.3702,51,1,1
des_perf_d30,73.540700,77.677600,54.373100,1.3525,0.9467,47,2,3
des_perf_d40,95.893800,77.463800,76.873700,1.2474,1.2379,7,362,11
des_perf_d50,90.632700,83.865100,89.461900,1.0131,1.0807,5,330,8
cage15,22.470800,110.351000,22.354900,1.0052,0.2036,49,0,0
M6,67.179900,74.465500,65.080200,1.0323,0.9022,14,0,0
nlpkkt120,5.927990,10.939200,7.759790,0.7639,0.5419,7,0,0
