case,mode,mean_pfxt_ms,min_pfxt_ms,max_pfxt_ms
netcard_base,gpg,7.05465,6.95206,7.10625
netcard_base,gpg-deferred,24.4129,24.2792,24.5201
netcard_base,adaptive,6.67628,6.63757,6.73337
netcard_d10,gpg,38.8997,38.8031,38.95
netcard_d10,gpg-deferred,147.888,147.81,148.027
netcard_d10,adaptive,40.4184,40.356,40.5061
netcard_d20,gpg,87.7194,87.5392,87.9006
netcard_d20,gpg-deferred,169.6,169.248,169.977
netcard_d20,adaptive,70.6173,70.6002,70.6476
netcard_d30,gpg,110.959,110.799,111.048
netcard_d30,gpg-deferred,108.035,107.8,108.318
netcard_d30,adaptive,89.7022,89.5597,89.8356
netcard_d40,gpg,158.316,157.893,158.703
netcard_d40,gpg-deferred,126.914,126.849,127.008
netcard_d40,adaptive,127.959,127.677,128.322
netcard_d50,gpg,375.954,375.858,376.142
netcard_d50,gpg-deferred,130.397,130.21,130.681
netcard_d50,adaptive,125.024,124.776,125.157
leon2_d10,gpg,54.2524,54.1829,54.3401
leon2_d10,gpg-deferred,112.345,112.247,112.54
leon2_d10,adaptive,69.7206,69.54,69.9452
leon2_d20,gpg,259.08,258.742,259.359
leon2_d20,gpg-deferred,131.248,130.951,131.666
leon2_d20,adaptive,86.2034,86.0384,86.5076
leon2_d30,gpg,4774.53,4761.17,4785.47
leon2_d30,gpg-deferred,3615.25,3568.82,3663.41
leon2_d30,adaptive,2772.7,2757.88,2786.59
leon2_d40,gpg,132.15,131.223,132.898
leon2_d40,gpg-deferred,141.849,141.767,141.969
leon2_d40,adaptive,103.218,103.17,103.249
leon2_d50,gpg,148.586,148.433,148.712
leon2_d50,gpg-deferred,145.537,144.974,146.308
leon2_d50,adaptive,133.409,133.192,133.607
leon3mp_d10,gpg,83.4271,83.3693,83.4936
leon3mp_d10,gpg-deferred,241.996,241.228,243.088
leon3mp_d10,adaptive,77.0554,76.987,77.1435
leon3mp_d20,gpg,90.5179,90.1915,90.6874
leon3mp_d20,gpg-deferred,218.284,217.7,218.815
leon3mp_d20,adaptive,66.6869,66.572,66.9026
leon3mp_d30,gpg,122.004,121.874,122.158
leon3mp_d30,gpg-deferred,139.747,139.585,140.028
leon3mp_d30,adaptive,89.283,89.2252,89.3245
leon3mp_d40,gpg,211.48,211.214,211.626
leon3mp_d40,gpg-deferred,134.271,134.089,134.401
leon3mp_d40,adaptive,97.3236,97.2752,97.3823
leon3mp_d50,gpg,151.593,151.34,151.847
leon3mp_d50,gpg-deferred,81.1359,81.0088,81.3708
leon3mp_d50,adaptive,78.5941,78.2743,78.7919
vga_lcd_d10,gpg,48.734,48.6288,48.8398
vga_lcd_d10,gpg-deferred,105.343,104.751,105.787
vga_lcd_d10,adaptive,44.9333,44.7139,45.1605
vga_lcd_d20,gpg,109.068,108.854,109.278
vga_lcd_d20,gpg-deferred,166.206,165.597,167.394
vga_lcd_d20,adaptive,94.7619,94.5758,94.9289
vga_lcd_d30,gpg,75.4987,75.284,75.7054
vga_lcd_d30,gpg-deferred,108.381,108.265,108.457
vga_lcd_d30,adaptive,50.7373,50.5926,50.8416
vga_lcd_d40,gpg,98.3202,98.2409,98.4711
vga_lcd_d40,gpg-deferred,158.175,158.055,158.355
vga_lcd_d40,adaptive,109.904,109.761,110.093
vga_lcd_d50,gpg,125.331,124.942,125.978
vga_lcd_d50,gpg-deferred,98.4236,98.2659,98.5727
vga_lcd_d50,adaptive,63.5823,63.4248,63.838
des_perf_d10,gpg,80.4332,80.1644,80.8388
des_perf_d10,gpg-deferred,171.143,170.775,171.37
des_perf_d10,adaptive,73.3273,73.2759,73.4144
des_perf_d20,gpg,31.6407,31.5521,31.7072
des_perf_d20,gpg-deferred,85.4715,85.3233,85.6123
des_perf_d20,adaptive,24.5166,24.4738,24.5769
des_perf_d30,gpg,73.5407,73.2828,73.8897
des_perf_d30,gpg-deferred,77.6776,77.5415,77.8763
des_perf_d30,adaptive,54.3731,54.1661,54.5893
des_perf_d40,gpg,95.8938,95.8156,95.9962
des_perf_d40,gpg-deferred,77.4638,77.2206,77.6609
des_perf_d40,adaptive,76.8737,76.719,77.1111
des_perf_d50,gpg,90.6327,90.3979,90.8143
des_perf_d50,gpg-deferred,83.8651,83.6455,84.0649
des_perf_d50,adaptive,89.4619,89.0066,89.8195
cage15,gpg,22.4708,22.4196,22.5595
cage15,gpg-deferred,110.351,110.176,110.622
cage15,adaptive,22.3549,22.2774,22.4491
M6,gpg,67.1799,66.852,67.4358
M6,gpg-deferred,74.4655,74.4204,74.4951
M6,adaptive,65.0802,65.0726,65.087
nlpkkt120,gpg,5.92799,5.88691,5.99895
nlpkkt120,gpg-deferred,10.9392,10.8926,10.9874
nlpkkt120,adaptive,7.75979,7.70446,7.83949
