case,fixed_ms,fixed_speedup,adaptive_cold_ms,adaptive_cold_speedup,arena_cold_ms,arena_cold_speedup,optimized_setup_ms
M6,75.053400,0.899911,23.222080,2.908499,18.904980,3.563178,4.878480
cage15,110.878000,0.204757,37.214900,0.610054,32.057000,0.701036,18.232700
des_perf_d10,142.345000,0.564730,44.942810,1.788640,33.838710,2.340683,2.106210
des_perf_d20,85.093100,0.378918,25.214310,1.278770,20.925910,1.507452,3.361310
des_perf_d30,77.917200,0.951279,57.562580,1.287659,38.200080,1.918428,5.098780
des_perf_d40,74.486400,1.297493,79.201950,1.220243,68.133850,1.400427,6.949050
des_perf_d50,74.376600,1.223362,81.167880,1.121004,67.313180,1.342661,9.202480
leon2_d10,87.034000,0.628662,59.668700,0.916980,51.091900,1.071587,18.383500
leon2_d20,106.820000,2.430659,95.189900,2.727632,80.810700,3.213795,35.467200
leon2_d30,1938.810000,2.473136,1121.694300,4.274730,711.516300,6.722067,53.494300
leon2_d40,123.422000,1.065053,148.117600,0.887477,130.370500,1.017776,72.830300
leon2_d50,129.109000,1.141508,206.391200,0.714076,183.151000,0.806433,92.542200
leon3mp_d10,199.184000,0.423012,89.781900,0.938466,81.626300,1.022354,14.728700
leon3mp_d20,185.879000,0.489492,89.751000,1.013764,83.636800,1.087334,28.583300
leon3mp_d30,130.240000,0.940111,127.103300,0.963311,118.954700,1.036479,43.297000
leon3mp_d40,127.894000,1.665043,130.749300,1.628682,118.849900,1.779875,58.988900
leon3mp_d50,78.033600,1.943227,147.226600,1.029957,137.136300,1.103719,75.652500
netcard_base,24.488400,0.294703,9.870840,0.731124,8.818110,0.820348,2.951510
netcard_d10,138.520000,0.282683,47.824700,0.818765,37.154300,1.053076,17.171300
netcard_d20,160.081000,0.548808,98.957400,0.887793,90.094700,0.973689,32.803500
netcard_d30,104.835000,1.061382,138.115500,0.805630,125.754100,0.883224,50.037700
netcard_d40,110.315000,1.433604,169.602900,0.932460,150.872200,1.053680,67.921900
netcard_d50,115.259000,3.243270,190.541000,1.961866,171.997200,2.168809,86.731000
nlpkkt120,10.900100,0.545200,24.061780,0.246978,21.793140,0.273682,18.439700
vga_lcd_d10,96.673400,0.501200,40.225270,1.204534,32.297670,1.506276,2.338870
vga_lcd_d20,138.305000,0.788619,78.015540,1.398055,61.056140,1.787027,4.215940
vga_lcd_d30,99.456500,0.759353,52.431220,1.440413,46.288720,1.629723,6.220120
vga_lcd_d40,124.854000,0.786527,101.794630,0.964697,72.862630,1.357832,8.463930
vga_lcd_d50,89.013600,1.407032,69.915800,1.791369,53.414700,2.348923,10.935500
