case,gpg_ms,arena_adaptive_ms,speedup
netcard_base,7.233920,5.866600,1.2331
netcard_d10,39.126300,19.983000,1.9580
netcard_d20,87.724200,57.291200,1.5312
netcard_d30,111.069000,75.716400,1.4669
netcard_d40,158.971000,82.950300,1.9165
netcard_d50,373.029000,85.266200,4.3749
leon2_d10,54.749400,32.708400,1.6739
leon2_d20,259.709000,45.343500,5.7276
leon2_d30,4782.860000,658.022000,7.2685
leon2_d40,132.688000,57.540200,2.3060
leon2_d50,147.699000,90.608800,1.6301
leon3mp_d10,83.451000,66.897600,1.2474
leon3mp_d20,90.941100,55.053500,1.6519
leon3mp_d30,123.294000,75.657700,1.6296
leon3mp_d40,211.538000,59.861000,3.5338
leon3mp_d50,151.360000,61.483800,2.4618
vga_lcd_d10,48.649200,29.958800,1.6239
vga_lcd_d20,109.109000,56.840200,1.9196
vga_lcd_d30,75.437800,40.068600,1.8827
vga_lcd_d40,98.935200,64.398700,1.5363
vga_lcd_d50,125.467000,42.479200,2.9536
des_perf_d10,79.205700,31.732500,2.4960
des_perf_d20,31.544800,17.564600,1.7959
des_perf_d30,73.284100,33.101300,2.2139
des_perf_d40,95.416500,61.184800,1.5595
des_perf_d50,90.378800,58.110700,1.5553
cage15,22.473100,13.824300,1.6256
M6,67.361800,14.026500,4.8025
nlpkkt120,5.964400,3.353440,1.7786
