benchmark,|V|,|E|,Diameter,avg_path_cost_error(%),sfxt(ms),pfxt(ms),total(ms),avg_path_cost_error(%),sfxt(ms),pfxt(ms),total(ms)
vga_lcd_random_wgts_dense40,397809,15912360,212,8.74,365.14,822.32,1187.46,0.00,23.67,693.91,717.58 (1.65x)
leon2_iccad_random_wgts_dense40,4328255,173130200,503,41.63,21096.44,240.21,21336.65,0.00,145.91,224.07,369.98 (57.67x)
leon3mp_iccad_random_wgts_dense40,3376832,135073280,482,20.36,12708.49,19192.72,31901.21,0.00,104.90,144.99,249.89 (127.66x)
ldoor,952203,22785136,6734,1.78,599.80,29901.19,30500.99,0.00,231.62,189.32,420.94 (72.46x)
cage15,5154859,47022346,147,0.85,130.83,15602.01,15732.84,0.00,34.15,62.61,96.76 (162.60x)
netcard_random_wgts_dense40,3999174,159966960,480,18.00,17239.13,226.50,17465.63,0.00,127.82,9473.00,9600.82 (1.82x)
nlpkkt120,3542400,46651696,2,inf,7.91,3395.35,3403.25,0.00,7.35,209.40,216.75 (15.70x)
nlpkkt160,8345600,110586256,2,inf,18.54,8143.77,8162.31,0.00,16.97,453.87,470.84 (17.34x)
des_perf_random_wgts_dense40,303690,12147600,201,1.69,264.86,716.72,981.57,0.00,21.47,646.78,668.25 (1.47x)
aes_core_random_wgts_dense40,66751,2670040,203,2.02,51.27,2035.84,2087.10,0.00,13.82,64.99,78.80 (26.49x)
