benchmark,|V|,|E|,Diameter,avg_path_cost_error(%),sfxt(ms),pfxt(ms),total(ms),avg_path_cost_error(%),sfxt(ms),pfxt(ms),total(ms)
vga_lcd_random_wgts_dense40,397809,15912360,212,8.74,365.14,822.32,1187.46,0.00,22.90,658.16,681.06 (1.74x)
leon2_iccad_random_wgts_dense40,4328255,173130200,503,41.63,21096.44,240.21,21336.65,0.00,146.81,182.62,329.43 (64.77x)
leon3mp_iccad_random_wgts_dense40,3376832,135073280,482,20.36,12708.49,19192.72,31901.21,0.00,108.34,127.82,236.16 (135.08x)
ldoor,952203,22785136,6734,1.78,599.80,29901.19,30500.99,0.00,235.35,193.07,428.42 (71.19x)
cage15,5154859,47022346,147,0.85,130.83,15602.01,15732.84,0.00,32.31,73.90,106.21 (148.13x)
netcard_random_wgts_dense40,3999174,159966960,480,18.00,17239.13,226.50,17465.63,0.00,129.83,4397.34,4527.17 (3.86x)
nlpkkt120,3542400,46651696,2,inf,7.91,3395.35,3403.25,0.00,9.75,210.43,220.18 (15.46x)
nlpkkt160,8345600,110586256,2,inf,18.54,8143.77,8162.31,0.00,22.94,456.25,479.19 (17.03x)
des_perf_random_wgts_dense40,303690,12147600,201,1.69,264.86,716.72,981.57,0.00,20.88,640.69,661.57 (1.48x)
aes_core_random_wgts_dense40,66751,2670040,203,2.02,51.27,2035.84,2087.10,0.00,13.51,60.02,73.54 (28.38x)
