case,category,family,density_percent,scale,vertices,edges,k,gpg_pfxt_ms,fixed_defer_pfxt_ms,adaptive_setup_ms,adaptive_pfxt_ms,adaptive_cold_ms,fixed_vs_gpg_speedup,adaptive_reused_vs_gpg_speedup,adaptive_cold_vs_gpg_speedup,correctness_pass
netcard_base,circuit_original,netcard,NA,1,3999174,4805566,1000000,7.295950,24.432600,0.613173,5.693840,6.307013,0.298615,1.281376,1.156800,1
netcard_d10,circuit_density,netcard,10,1,3999174,39991740,1000000,39.552300,144.061000,3.716690,20.119800,23.836490,0.274552,1.965840,1.659317,1
netcard_d20,circuit_density,netcard,20,1,3999174,79983480,1000000,88.332000,164.803000,6.280050,57.411200,63.691250,0.535985,1.538585,1.386878,1
netcard_d30,circuit_density,netcard,30,1,3999174,119975220,1000000,111.024000,105.630000,9.036700,75.520400,84.557100,1.051065,1.470119,1.313006,1
netcard_d40,circuit_density,netcard,40,1,3999174,159966960,1000000,158.407000,111.129000,11.768300,82.581700,94.350000,1.425434,1.918185,1.678930,1
netcard_d50,circuit_density,netcard,50,1,3999174,199958700,1000000,373.113000,116.445000,14.797900,84.434000,99.231900,3.204199,4.418990,3.760011,1
leon2_base,circuit_original,leon2,NA,1,4328255,5123695,1000000,11.961100,33.804200,0.600070,8.046880,8.646950,0.353835,1.486427,1.383274,1
leon2_d10,circuit_density,leon2,10,1,4328255,43282550,1000000,54.493700,87.813400,4.030220,32.586700,36.616920,0.620562,1.672268,1.488211,1
leon2_d20,circuit_density,leon2,20,1,4328255,86565100,1000000,260.625000,106.925000,6.703490,45.204800,51.908290,2.437456,5.765428,5.020874,1
leon2_d30,circuit_density,leon2,30,1,4328255,129847650,1000000,4799.210000,2045.620000,9.523580,653.222000,662.745580,2.346091,7.346982,7.241406,1
leon2_d40,circuit_density,leon2,40,1,4328255,173130200,1000000,132.669000,124.576000,12.383000,58.176100,70.559100,1.064964,2.280473,1.880254,1
leon2_d50,circuit_density,leon2,50,1,4328255,216412750,1000000,147.177000,129.785000,15.649800,90.610200,106.260000,1.134006,1.624287,1.385065,1
leon3mp_base,circuit_original,leon3mp,NA,1,3376832,4039949,1000000,13.194000,43.332600,0.627725,10.120300,10.748025,0.304482,1.303716,1.227574,1
leon3mp_d10,circuit_density,leon3mp,10,1,3376832,33768320,1000000,83.342700,198.033000,3.190660,67.127200,70.317860,0.420853,1.241564,1.185228,1
leon3mp_d20,circuit_density,leon3mp,20,1,3376832,67536640,1000000,90.691700,189.326000,5.405420,54.908000,60.313420,0.479024,1.651703,1.503674,1
leon3mp_d30,circuit_density,leon3mp,30,1,3376832,101304960,1000000,123.020000,130.381000,7.838440,75.050300,82.888740,0.943542,1.639167,1.484158,1
leon3mp_d40,circuit_density,leon3mp,40,1,3376832,135073280,1000000,212.547000,127.563000,10.248800,59.465200,69.714000,1.666212,3.574309,3.048842,1
leon3mp_d50,circuit_density,leon3mp,50,1,3376832,168841600,1000000,151.873000,79.445000,13.007500,60.709400,73.716900,1.911675,2.501639,2.060220,1
vga_lcd_base,circuit_original,vga_lcd,NA,1,397806,473772,1000000,7.628940,28.763900,0.417959,6.727640,7.145599,0.265226,1.133970,1.067642,1
vga_lcd_d10,circuit_density,vga_lcd,10,1,397806,3978060,1000000,49.199800,97.239000,0.614347,29.908100,30.522447,0.505968,1.645033,1.611922,1
vga_lcd_d20,circuit_density,vga_lcd,20,1,397806,7956120,1000000,109.195000,139.491000,0.954419,57.659400,58.613819,0.782810,1.893794,1.862957,1
vga_lcd_d30,circuit_density,vga_lcd,30,1,397806,11934180,1000000,75.272500,99.903100,1.253450,39.724600,40.978050,0.753455,1.894859,1.836898,1
vga_lcd_d40,circuit_density,vga_lcd,40,1,397806,15912240,1000000,98.548300,126.081000,1.708270,63.774300,65.482570,0.781627,1.545267,1.504955,1
vga_lcd_d50,circuit_density,vga_lcd,50,1,397806,19890300,1000000,125.769000,87.583400,2.370980,41.635300,44.006280,1.435991,3.020730,2.857978,1
des_perf_base,circuit_original,des_perf,NA,1,303690,377409,1000000,25.210900,204.658000,0.385082,22.325100,22.710182,0.123186,1.129263,1.110114,1
des_perf_d10,circuit_density,des_perf,10,1,303690,3036900,1000000,79.313000,141.141000,0.580047,32.502300,33.082347,0.561942,2.440227,2.397442,1
des_perf_d20,circuit_density,des_perf,20,1,303690,6073800,1000000,31.771800,83.684500,0.811002,17.855500,18.666502,0.379662,1.779385,1.702076,1
des_perf_d30,circuit_density,des_perf,30,1,303690,9110700,1000000,73.207900,76.183300,1.151780,33.251500,34.403280,0.960944,2.201642,2.127934,1
des_perf_d40,circuit_density,des_perf,40,1,303690,12147600,1000000,96.026400,73.251800,1.623940,61.034700,62.658640,1.310908,1.573308,1.532532,1
des_perf_d50,circuit_density,des_perf,50,1,303690,15184500,1000000,90.300800,73.897700,2.289530,58.892700,61.182230,1.221970,1.533311,1.475932,1
cage15,non_circuit,cage15,NA,1,5154859,47022346,1000000,22.520400,111.133000,2.478380,13.865900,16.344280,0.202644,1.624157,1.377877,1
M6,non_circuit,M6,NA,1,3501776,10501936,1000000,68.037500,74.878900,0.781970,13.894600,14.676570,0.908634,4.896686,4.635790,1
nlpkkt120,non_circuit,nlpkkt120,NA,1,3542400,46651696,1000000,5.947180,11.451600,2.498750,3.234300,5.733050,0.519332,1.838784,1.037350,1
netcard_base_x8,scaled_task_graph,netcard,NA,8,33573434,41802132,1000000,8.703690,421.057000,3.228280,5.856010,9.084290,0.020671,1.486283,0.958103,1
netcard_base_x16,scaled_task_graph,netcard,NA,16,68134391,85381816,1000000,33.944400,1717.660000,7.275830,12.352800,19.628630,0.019762,2.747911,1.729331,1
leon2_base_x8,scaled_task_graph,leon2,NA,8,37021714,46080382,1000000,22.944400,611.660000,3.085640,11.514500,14.600140,0.037512,1.992653,1.571519,1
leon2_base_x16,scaled_task_graph,leon2,NA,16,75540721,94855902,1000000,8.469300,1414.850000,6.655820,8.317310,14.973130,0.005986,1.018274,0.565633,1
leon3mp_base_x8,scaled_task_graph,leon3mp,NA,8,28758722,36025747,1000000,9.885270,465.728000,2.729410,7.524490,10.253900,0.021225,1.313746,0.964050,1
leon3mp_base_x16,scaled_task_graph,leon3mp,NA,16,58607482,74013573,1000000,59.883200,1685.690000,5.767190,17.463600,23.230790,0.035524,3.429030,2.577751,1
