graph,density,k,gpg_mean_ms,gpg_min_ms,tc_mean_ms,tc_min_ms,tc_over_gpg,tc_speedup,retries,status
netcard,10,1000000,40.0198,39.9563,158.232,157.927,3.953843,0.252918,0,PASS
netcard,20,1000000,108.57,108.243,168.794,168.506,1.554702,0.643210,0,PASS
netcard,30,1000000,166.303,166.116,128.028,127.257,0.769848,1.298958,0,PASS
netcard,40,1000000,289.027,288.93,125.223,125.123,0.433257,2.308098,0,PASS
netcard,50,1000000,1865.85,1865.48,126.204,126.093,0.067639,14.784397,0,PASS
leon2,10,1000000,65.0636,64.9231,157.283,156.004,2.417373,0.413672,0,PASS
leon2,20,1000000,2174.67,2174.07,320.196,318.6,0.147239,6.791684,0,PASS
leon2,30,1000000,4412.45,4411.05,3637.26,3623.7,0.824318,1.213125,16,PASS
leon2,40,1000000,319.877,319.036,328.909,327.753,1.028236,0.972540,4,PASS
leon2,50,1000000,195.039,193.652,164.267,163.783,0.842226,1.187329,0,PASS
leon3mp,10,1000000,79.0864,78.9908,290.194,288.885,3.669329,0.272529,8,PASS
leon3mp,20,1000000,71.4289,71.2155,163.378,163.043,2.287281,0.437200,0,PASS
leon3mp,30,1000000,106.642,106.425,150.737,150.502,1.413486,0.707471,0,PASS
leon3mp,40,1000000,144.088,143.895,156.377,156.196,1.085288,0.921414,0,PASS
leon3mp,50,1000000,369.906,369.728,107.842,107.72,0.291539,3.430074,0,PASS
