case,gpg_first_query_ms,adaptive_setup_ms,adaptive_first_query_ms,adaptive_one_shot_ms,one_shot_speedup,gpg_mean_query_ms,adaptive_mean_query_ms,correctness
netcard_base,7.528850,2.976660,6.894930,9.871590,0.7627,7.325940,6.866820,1
netcard_d10,40.118100,16.906500,30.735700,47.642200,0.8421,39.485300,30.605300,1
netcard_d20,88.453900,32.970100,66.385600,99.355700,0.8903,88.017700,66.227800,1
netcard_d30,113.094000,49.841100,87.307300,137.148400,0.8246,111.761000,87.735400,1
netcard_d40,160.082000,67.965900,100.346000,168.311900,0.9511,158.625000,101.137000,1
netcard_d50,377.458000,86.957100,103.752000,190.709100,1.9792,375.056000,104.188000,1
leon2_d10,55.741700,18.460600,41.790000,60.250600,0.9252,54.797600,41.456400,1
leon2_d20,259.910000,35.447200,60.059500,95.506700,2.7214,259.147000,59.788400,1
leon2_d30,4777.570000,53.685000,1068.500000,1122.185000,4.2574,4773.110000,1071.040000,1
leon2_d40,132.635000,72.941900,75.947000,148.888900,0.8908,133.183000,75.805300,1
leon2_d50,150.676000,92.682300,111.530000,204.212300,0.7378,148.678000,111.682000,1
leon3mp_d10,84.214300,14.595400,74.657600,89.253000,0.9435,83.603100,74.441900,1
leon3mp_d20,91.973900,28.472300,61.314000,89.786300,1.0244,91.186700,61.763600,1
leon3mp_d30,124.807000,43.173000,83.820100,126.993100,0.9828,123.573000,83.420200,1
leon3mp_d40,215.524000,58.943300,71.914400,130.857700,1.6470,213.044000,71.548700,1
leon3mp_d50,153.324000,75.445200,72.303400,147.748600,1.0377,152.198000,71.838900,1
vga_lcd_d10,48.555700,2.368900,37.961000,40.329900,1.2040,48.284900,38.279200,1
vga_lcd_d20,110.291000,4.269020,74.606400,78.875420,1.3983,109.563000,74.640400,1
vga_lcd_d30,76.272500,6.236010,46.161900,52.397910,1.4556,75.755300,46.400600,1
vga_lcd_d40,99.572300,8.441490,93.472100,101.913590,0.9770,98.741400,93.467200,1
vga_lcd_d50,126.932000,10.983800,58.643900,69.627700,1.8230,125.876000,58.740600,1
des_perf_d10,79.098600,2.114080,41.684700,43.798780,1.8060,79.340200,42.480300,1
des_perf_d20,31.842300,3.452440,21.601200,25.053640,1.2710,31.726300,21.576400,1
des_perf_d30,73.681300,5.063520,52.276200,57.339720,1.2850,73.265900,52.338600,1
des_perf_d40,95.538800,7.062790,71.411000,78.473790,1.2175,95.582100,70.437400,1
des_perf_d50,90.864300,9.173780,70.115200,79.288980,1.1460,90.358400,69.963300,1
cage15,22.821100,18.198000,18.875500,37.073500,0.6156,22.616100,18.744100,1
M6,67.624500,4.869610,18.307800,23.177410,2.9177,67.883700,18.333800,1
nlpkkt120,6.041270,18.258800,5.623790,23.882590,0.2530,5.958400,5.609060,1
