case,prior_adaptive_pfxt_ms,fresh_adaptive_pfxt_ms,change_pct
M6,18.343600,18.329100,-0.079047
cage15,18.982200,18.711400,-1.426600
des_perf_d20,21.853000,21.716600,-0.624171
des_perf_d40,72.252900,70.469000,-2.468967
leon2_d10,41.285200,41.414200,0.312461
leon2_d30,1068.200000,1072.010000,0.356675
leon3mp_d20,61.167700,62.089300,1.506678
leon3mp_d50,71.574100,72.620700,1.462261
netcard_base,6.919330,6.885280,-0.492100
netcard_d20,66.153900,66.283900,0.196511
netcard_d50,103.810000,104.332000,0.502842
nlpkkt120,5.622080,5.579210,-0.762529
vga_lcd_d20,73.799600,74.158800,0.486724
vga_lcd_d50,58.980300,58.927800,-0.089013
