case,gpg_pfxt_ms,fixed_defer_pfxt_ms,fixed_speedup,adaptive_pfxt_ms,optimized_setup_ms,adaptive_cold_ms,adaptive_cold_speedup
M6,68.546300,75.353800,0.909659,18.329100,4.974770,23.303870,2.941413
cage15,22.537400,111.190000,0.202693,18.711400,18.253100,36.964500,0.609704
des_perf_d20,31.755600,82.639800,0.384265,21.716600,3.403150,25.119750,1.264169
des_perf_d40,95.642000,73.131100,1.307816,70.469000,7.038790,77.507790,1.233966
leon2_d10,54.477200,87.203100,0.624716,41.414200,18.521600,59.935800,0.908926
leon2_d30,4761.130000,1965.030000,2.422930,1072.010000,53.687400,1125.697400,4.229494
leon3mp_d20,90.852900,187.866000,0.483605,62.089300,28.496000,90.585300,1.002954
leon3mp_d50,152.325000,79.173800,1.923932,72.620700,76.427400,149.048100,1.021986
netcard_base,7.340420,24.351500,0.301436,6.885280,3.000910,9.886190,0.742492
netcard_d20,88.299400,159.746000,0.552749,66.283900,33.035900,99.319800,0.889041
netcard_d50,373.770000,116.097000,3.219463,104.332000,87.292600,191.624600,1.950532
nlpkkt120,5.949810,11.457500,0.519294,5.579210,18.162600,23.741810,0.250605
vga_lcd_d20,109.109000,140.087000,0.778866,74.158800,4.278650,78.437450,1.391032
vga_lcd_d50,125.395000,87.418600,1.434420,58.927800,10.963200,69.891000,1.794151
