benchmark,diameter,err
aes_core_random_wgts,130,13.118
aes_core_random_wgts_dense10,203,0.626
aes_core_random_wgts_dense20,203,0.850
aes_core_random_wgts_dense30,203,3.084
aes_core_random_wgts_dense40,203,2.016
aes_core_random_wgts_dense50,203,1.232
aes_core_random_wgts_dense60,203,1.317
aes_core_random_wgts_dense70,203,1.776
aes_core_random_wgts_dense80,203,1.309
aes_core_random_wgts_dense90,203,1.617
aes_core_random_wgts_dense100,203,0.870
vga_lcd_random_wgts,130,92.142
vga_lcd_random_wgts_dense10,158,8.184
vga_lcd_random_wgts_dense20,212,6.763
vga_lcd_random_wgts_dense30,212,6.770
vga_lcd_random_wgts_dense40,212,8.738
vga_lcd_random_wgts_dense50,212,3.474
vga_lcd_random_wgts_dense60,212,1.451
vga_lcd_random_wgts_dense70,212,2.428
vga_lcd_random_wgts_dense80,212,3.869
vga_lcd_random_wgts_dense90,212,5.026
vga_lcd_random_wgts_dense100,212,3.283
des_perf_random_wgts,132,88.377
des_perf_random_wgts_dense10,201,3.381
des_perf_random_wgts_dense20,201,0.401
des_perf_random_wgts_dense30,201,0.848
des_perf_random_wgts_dense40,201,1.693
des_perf_random_wgts_dense50,201,1.985
des_perf_random_wgts_dense60,201,1.416
des_perf_random_wgts_dense70,201,1.308
des_perf_random_wgts_dense80,201,2.102
des_perf_random_wgts_dense90,201,1.337
des_perf_random_wgts_dense100,201,1.530
leon3mp_iccad_random_wgts,304,8.239
leon3mp_iccad_random_wgts_dense10,481,8.276
leon3mp_iccad_random_wgts_dense20,482,7.201
leon3mp_iccad_random_wgts_dense30,481,18.570
leon3mp_iccad_random_wgts_dense40,482,20.359
netcard_random_wgts,284,43.440
netcard_random_wgts_dense10,476,26.348
netcard_random_wgts_dense20,479,8.631
netcard_random_wgts_dense30,480,16.270
netcard_random_wgts_dense40,480,18.004
leon2_iccad_random_wgts,308,139.270
leon2_iccad_random_wgts_dense10,501,1641728.875
leon2_iccad_random_wgts_dense20,504,27.837
leon2_iccad_random_wgts_dense30,503,46.199
leon2_iccad_random_wgts_dense40,503,41.655
ldoor,6734,1.777
cage15,147,0.854
nlpkkt120,2,0.000
nlpkkt160,2,0.000
leon2_iccad_random_wgts_dense10,501,22.893
