benchmark,diameter,err
aes_core_random_wgts,130,0.000
aes_core_random_wgts_dense10,203,0.000
aes_core_random_wgts_dense20,203,0.000
aes_core_random_wgts_dense30,203,0.000
aes_core_random_wgts_dense40,203,0.000
aes_core_random_wgts_dense50,203,0.000
aes_core_random_wgts_dense60,203,0.000
aes_core_random_wgts_dense70,203,0.000
aes_core_random_wgts_dense80,203,0.000
aes_core_random_wgts_dense90,203,0.000
aes_core_random_wgts_dense100,203,0.000
vga_lcd_random_wgts,130,0.000
vga_lcd_random_wgts_dense10,158,0.000
vga_lcd_random_wgts_dense20,212,0.000
vga_lcd_random_wgts_dense30,212,0.000
vga_lcd_random_wgts_dense40,212,0.000
vga_lcd_random_wgts_dense50,212,0.000
vga_lcd_random_wgts_dense60,212,0.000
vga_lcd_random_wgts_dense70,212,0.000
vga_lcd_random_wgts_dense80,212,0.000
vga_lcd_random_wgts_dense90,212,0.000
vga_lcd_random_wgts_dense100,212,0.000
des_perf_random_wgts,132,0.000
des_perf_random_wgts_dense10,201,0.000
des_perf_random_wgts_dense20,201,0.000
des_perf_random_wgts_dense30,201,0.000
des_perf_random_wgts_dense40,201,0.000
des_perf_random_wgts_dense50,201,0.000
des_perf_random_wgts_dense60,201,0.000
des_perf_random_wgts_dense70,201,0.000
des_perf_random_wgts_dense80,201,0.000
des_perf_random_wgts_dense90,201,0.000
des_perf_random_wgts_dense100,201,0.000
leon3mp_iccad_random_wgts,304,0.000
leon3mp_iccad_random_wgts_dense10,481,0.000
leon3mp_iccad_random_wgts_dense20,482,0.000
leon3mp_iccad_random_wgts_dense30,481,0.000
leon3mp_iccad_random_wgts_dense40,482,0.000
netcard_random_wgts,284,0.000
netcard_random_wgts_dense10,476,0.000
netcard_random_wgts_dense20,479,0.000
netcard_random_wgts_dense30,480,0.000
netcard_random_wgts_dense40,480,0.000
leon2_iccad_random_wgts,308,0.000
leon2_iccad_random_wgts_dense10,501,0.000
leon2_iccad_random_wgts_dense20,504,0.000
leon2_iccad_random_wgts_dense30,503,0.000
leon2_iccad_random_wgts_dense40,503,0.000
ldoor,6734,0.000
cage15,147,0.000
nlpkkt120,2,0.000
nlpkkt160,2,0.000
leon2_iccad_random_wgts_dense10,501,0.000
