benchmark,diameter,runtime
aes_core_random_wgts,130,3.08
aes_core_random_wgts_dense10,203,7774.36
aes_core_random_wgts_dense20,203,36863.07
aes_core_random_wgts_dense30,203,2153.25
aes_core_random_wgts_dense40,203,2132.85
aes_core_random_wgts_dense50,203,3530.99
aes_core_random_wgts_dense60,203,5670.39
aes_core_random_wgts_dense70,203,9891.85
aes_core_random_wgts_dense80,203,11098.15
aes_core_random_wgts_dense90,203,16989.64
aes_core_random_wgts_dense100,203,20395.74
vga_lcd_random_wgts,130,14.33
vga_lcd_random_wgts_dense10,158,25285.92
vga_lcd_random_wgts_dense20,212,1037.67
vga_lcd_random_wgts_dense30,212,952.37
vga_lcd_random_wgts_dense40,212,1203.30
vga_lcd_random_wgts_dense50,212,26859.27
vga_lcd_random_wgts_dense60,212,32629.73
vga_lcd_random_wgts_dense70,212,45136.87
vga_lcd_random_wgts_dense80,212,48131.01
vga_lcd_random_wgts_dense90,212,1538.69
vga_lcd_random_wgts_dense100,212,1707.89
des_perf_random_wgts,132,8.35
des_perf_random_wgts_dense10,201,7754.38
des_perf_random_wgts_dense20,201,25723.54
des_perf_random_wgts_dense30,201,34897.36
des_perf_random_wgts_dense40,201,1001.84
des_perf_random_wgts_dense50,201,1154.60
des_perf_random_wgts_dense60,201,1447.87
des_perf_random_wgts_dense70,201,1573.05
des_perf_random_wgts_dense80,201,1491.27
des_perf_random_wgts_dense90,201,1943.79
des_perf_random_wgts_dense100,201,2096.52
leon3mp_iccad_random_wgts,304,435.19
leon3mp_iccad_random_wgts_dense10,481,22016.69
leon3mp_iccad_random_wgts_dense20,482,16050.91
leon3mp_iccad_random_wgts_dense30,481,23512.91
leon3mp_iccad_random_wgts_dense40,482,32335.57
netcard_random_wgts,284,302.24
netcard_random_wgts_dense10,476,3175.29
netcard_random_wgts_dense20,479,50411.73
netcard_random_wgts_dense30,480,12212.41
netcard_random_wgts_dense40,480,17582.20
leon2_iccad_random_wgts,308,216.94
leon2_iccad_random_wgts_dense10,501,4193.27
leon2_iccad_random_wgts_dense20,504,8954.52
leon2_iccad_random_wgts_dense30,503,14771.61
leon2_iccad_random_wgts_dense40,503,21217.26
ldoor,6734,30953.69
cage15,147,15921.16
nlpkkt120,2,3466.11
nlpkkt160,2,8371.34
leon2_iccad_random_wgts_dense10,501,4193.83
