benchmark,diameter,runtime
aes_core_random_wgts,130,11.40
aes_core_random_wgts_dense10,203,51.71
aes_core_random_wgts_dense20,203,106.59
aes_core_random_wgts_dense30,203,81.94
aes_core_random_wgts_dense40,203,89.84
aes_core_random_wgts_dense50,203,93.41
aes_core_random_wgts_dense60,203,608.91
aes_core_random_wgts_dense70,203,896.64
aes_core_random_wgts_dense80,203,747.77
aes_core_random_wgts_dense90,203,319.36
aes_core_random_wgts_dense100,203,337.89
vga_lcd_random_wgts,130,17.72
vga_lcd_random_wgts_dense10,158,53.81
vga_lcd_random_wgts_dense20,212,1010.49
vga_lcd_random_wgts_dense30,212,847.52
vga_lcd_random_wgts_dense40,212,5312.64
vga_lcd_random_wgts_dense50,212,360.95
vga_lcd_random_wgts_dense60,212,264.97
vga_lcd_random_wgts_dense70,212,554.20
vga_lcd_random_wgts_dense80,212,627.71
vga_lcd_random_wgts_dense90,212,895.11
vga_lcd_random_wgts_dense100,212,954.32
des_perf_random_wgts,132,12.28
des_perf_random_wgts_dense10,201,153.87
des_perf_random_wgts_dense20,201,352.01
des_perf_random_wgts_dense30,201,93.43
des_perf_random_wgts_dense40,201,191.26
des_perf_random_wgts_dense50,201,166.04
des_perf_random_wgts_dense60,201,232.65
des_perf_random_wgts_dense70,201,198.36
des_perf_random_wgts_dense80,201,197.63
des_perf_random_wgts_dense90,201,418.12
des_perf_random_wgts_dense100,201,739.74
leon3mp_iccad_random_wgts,304,46.63
leon3mp_iccad_random_wgts_dense10,481,139.67
leon3mp_iccad_random_wgts_dense20,482,224.24
leon3mp_iccad_random_wgts_dense30,481,276.89
leon3mp_iccad_random_wgts_dense40,482,294.60
netcard_random_wgts,284,44.04
netcard_random_wgts_dense10,476,347.99
netcard_random_wgts_dense20,479,1884.33
netcard_random_wgts_dense30,480,8852.56
netcard_random_wgts_dense40,480,9982.72
leon2_iccad_random_wgts,308,53.58
leon2_iccad_random_wgts_dense10,501,572.49
leon2_iccad_random_wgts_dense20,504,247.47
leon2_iccad_random_wgts_dense30,503,290.84
leon2_iccad_random_wgts_dense40,503,455.20
ldoor,6734,399.64
cage15,147,104.29
nlpkkt120,2,214.41
nlpkkt160,2,463.16
leon2_iccad_random_wgts_dense10,501,280.74
