pattern,batches,parents,deviations,products,iterations,pack_ms,compression_ms,gate_device_allocation_ms,library_plan_workspace_setup_ms,search_ms,mma_ms,sptc_classify_emit_ms,sptc_optimistic_ms,sptc_all_overhead_ms,cuda_fused_classify_emit_ms,mma_only_vs_cuda,optimistic_speedup,all_overhead_speedup,compressed_bytes,dense_sparse_operand_bytes,dense_b_bytes,intermediate_c_bytes,descriptor_bytes,materialized_candidate_bytes,descriptors,materialized_products,class_mismatches,output_mismatches,descriptor_mismatches,candidate_mismatches,pass
mixed,256,32,16,131072,100,0.00206784,0.00820032,111.013,32.9784,1.30109,0.00617248,0.00614336,0.0123142,0.022535,0.0050848,0.823786,0.41292,0.22564,327680,524288,262144,262144,0,2640216,0,110009,0,0,0,0,1
mixed,1024,32,16,524288,100,0.00409824,0.0122848,112.655,33.6892,1.44256,0.014385,0.0123766,0.0268669,0.0430486,0.0117763,0.818655,0.438321,0.273558,1310720,2097152,1048576,1048576,0,10559448,0,439977,0,0,0,0,1
mixed,4096,32,16,2097152,100,0.00824768,0.0334218,109.106,33.5511,1.91344,0.0471885,0.0430451,0.0902394,0.131602,0.034945,0.74054,0.387247,0.265536,5242880,8388608,4194304,4194304,0,42236376,0,1759849,0,0,0,0,1
mixed,16384,32,16,8388608,100,0.0229619,0.108683,111.759,33.2812,3.85488,0.176327,0.236017,0.431812,0.585673,0.223937,1.27001,0.518597,0.382358,20971520,33554432,16777216,16777216,0,168944088,0,7039337,0,0,0,0,1
all-short,256,32,16,131072,100,0.00206656,0.00820064,107.094,33.1735,1.31654,0.00616192,0.0061392,0.0123485,0.0225363,0.00614496,0.997248,0.497629,0.272669,327680,524288,262144,262144,0,3145728,0,131072,0,0,0,0,1
all-short,1024,32,16,524288,100,0.00410112,0.0122934,109.057,33.0274,1.42685,0.0143747,0.0143341,0.0287309,0.0450368,0.012297,0.855457,0.428005,0.273042,1310720,2097152,1048576,1048576,0,12582912,0,524288,0,0,0,0,1
all-short,4096,32,16,2097152,100,0.0081808,0.0335222,104.257,32.812,1.89066,0.0471971,0.0478579,0.0963242,0.137796,0.0389821,0.825942,0.404697,0.282898,5242880,8388608,4194304,4194304,0,50331648,0,2097152,0,0,0,0,1
all-short,16384,32,16,8388608,100,0.0228307,0.108674,104.207,33.7762,3.91363,0.176421,0.180444,0.382995,0.529752,0.147476,0.835936,0.385062,0.278388,20971520,33554432,16777216,16777216,0,201326592,0,8388608,0,0,0,0,1
all-long,256,32,16,131072,100,0.00206368,0.00820192,104.109,33.4711,1.29946,0.00618144,0.00206784,0.00821152,0.0184531,0.0020704,0.334938,0.252134,0.112198,327680,524288,262144,262144,52224,0,256,0,0,0,0,0,1
all-long,1024,32,16,524288,100,0.00424096,0.012296,103.452,33.1576,1.55558,0.0143853,0.00410016,0.0184781,0.0348109,0.004096,0.284736,0.221668,0.117664,1310720,2097152,1048576,1048576,208896,0,1024,0,0,0,0,0,1
all-long,4096,32,16,2097152,100,0.00819136,0.0335523,104.147,32.7685,1.89488,0.0471184,0.00616896,0.053265,0.095143,0.0061552,0.130633,0.115558,0.0646942,5242880,8388608,4194304,4194304,835584,0,4096,0,0,0,0,0,1
all-long,16384,32,16,8388608,100,0.0226378,0.108623,106.772,32.8316,3.91597,0.176224,0.0184634,0.194721,0.331907,0.0205379,0.116544,0.105473,0.0618785,20971520,33554432,16777216,16777216,3342336,0,16384,0,0,0,0,0,1
all-skip,256,32,16,131072,100,0.00207136,0.00819872,104.351,33.9272,1.31795,0.0061824,0.00205824,0.00821088,0.0188112,0.00206016,0.33323,0.250906,0.109518,327680,524288,262144,262144,0,0,0,0,0,0,0,0,1
all-skip,1024,32,16,524288,100,0.00408384,0.0122963,104.227,32.849,1.46656,0.0143795,0.00410304,0.018471,0.0348234,0.00410336,0.285361,0.222151,0.117834,1310720,2097152,1048576,1048576,0,0,0,0,0,0,0,0,1
all-skip,4096,32,16,2097152,100,0.00819072,0.0335232,104.506,33.5941,1.90317,0.0471251,0.00616608,0.0532765,0.0949187,0.00818144,0.173611,0.153566,0.0861942,5242880,8388608,4194304,4194304,0,0,0,0,0,0,0,0,1
all-skip,16384,32,16,8388608,100,0.0226422,0.108746,105.076,33.4911,3.89907,0.176289,0.0184774,0.194736,0.328793,0.0205581,0.116616,0.105569,0.062526,20971520,33554432,16777216,16777216,0,0,0,0,0,0,0,0,1
