Generating SQLite file experiments/subdescriptor_replay_oracle_20260826/nsys/leon2_d50_k1000000_cuda13.sqlite from experiments/subdescriptor_replay_oracle_20260826/nsys/leon2_d50_k1000000_cuda13.nsys-rep
Processing [experiments/subdescriptor_replay_oracle_20260826/nsys/leon2_d50_k1000000_cuda13.sqlite] with [/usr/local/cuda-13.1/nsight-systems-2025.5.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
27.9,69894397,602,116103.6,11808.0,2752,2828867,237251.3,"gpucpg::bfs_td_step_privatized(int *, int *, int *, int *, int *, int, int *, int *, int)"
14.5,36158725,601,60164.3,7200.0,1312,701657,127056.1,"gpucpg::relax_bu_step(int *, int *, float *, int *, int *, int, int)"
11.1,27710782,8,3463847.8,3464587.5,3436124,3486940,22046.5,"void cub::_V_300303_SM_1200::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300303_SM_1200::detail::radix_sort::policy_selector_from_types<unsigned long long, unsigned int, unsigned long long>, (cub::_V_300303_SM_1200::SortOrder)0, unsigned long long, unsigned int, unsigned long long, int, int, cub::_V_300303_SM_1200::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
6.3,15771931,1,15771931.0,15771931.0,15771931,15771931,0.0,"gpucpg::count_tc_pfxt_bvss_interval_slices(const unsigned long long *, int, int *)"
5.3,13323028,480,27756.3,2656.0,1728,1396977,114018.0,"gpucpg::count_tc_pfxt_source_local_tile_candidate_classes(int, const int4 *, const int *, const int *, const int *, const int *, const float *, const unsigned char *, const gpucpg::PfxtNode *, int, float, float, bool, bool, bool, unsigned long long *, unsigned char *)"
4.2,10584530,1,10584530.0,10584530.0,10584530,10584530,0.0,"gpucpg::fill_tc_pfxt_compact_deviations(int, const int *, const int *, const float *, const int *, const int *, const int *, int *, float *)"
3.5,8805476,1,8805476.0,8805476.0,8805476,8805476,0.0,"gpucpg::emit_tc_pfxt_bvss_edge_keys(int, const int *, const int *, const int *, unsigned long long *, unsigned int *)"
2.8,7125235,100,71252.4,17744.0,2304,1146324,158791.1,"gpucpg::fill_tc_pfxt_source_local_tile_short_candidates_direct(int, const int4 *, const int *, const int *, const int *, const int *, const int *, const float *, const unsigned char *, gpucpg::PfxtNode *, int, float, float, bool, bool, bool, const int *, const int *, const gpucpg::TcPfxtSourceLocalParentTileBound *, const gpucpg::TcPfxtSourceLocalDevTileBound *, int, int, int *, int, int *, unsigned long long *, bool, unsigned long long *)"
1.9,4680399,1,4680399.0,4680399.0,4680399,4680399,0.0,"void thrust::_V_300303_SM_1200::cuda_cub::core::detail::_kernel_agent<thrust::_V_300303_SM_1200::cuda_cub::__reduce_by_key::ReduceByKeyAgent<thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned int>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned int>>, cuda::std::__4::equal_to<unsigned long long>, cuda::std::__4::bit_or<unsigned int>, int *, int>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned int>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned int>>, int *, cub::_V_300303_SM_1200::ReduceByKeyScanTileState<unsigned int, int, (bool)1>, cuda::std::__4::equal_to<unsigned long long>, cuda::std::__4::bit_or<unsigned int>, int, int>(T2...)"
1.8,4422033,8,552754.1,81567.5,9056,3485627,1196631.0,"gpucpg::deferred_lpq_promote_to_short_pile(gpucpg::tc_pfxt::DeferredLpqTile *, int, const int *, const float *, const gpucpg::PfxtNode *, const int *, float, gpucpg::PfxtNode *, int)"
