Generating SQLite file experiments/subdescriptor_replay_oracle_20260826/nsys/netcard_d30_k1000000_cuda13.sqlite from experiments/subdescriptor_replay_oracle_20260826/nsys/netcard_d30_k1000000_cuda13.nsys-rep
Processing [experiments/subdescriptor_replay_oracle_20260826/nsys/netcard_d30_k1000000_cuda13.sqlite] with [/usr/local/cuda-13.1/nsight-systems-2025.5.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
23.8,41151492,552,74549.8,8111.5,2752,648726,141979.4,"gpucpg::bfs_td_step_privatized(int *, int *, int *, int *, int *, int, int *, int *, int)"
16.3,28228804,8,3528600.5,290172.0,22207,13821014,5753612.5,"gpucpg::deferred_lpq_promote_to_short_pile(gpucpg::tc_pfxt::DeferredLpqTile *, int, const int *, const float *, const gpucpg::PfxtNode *, const int *, float, gpucpg::PfxtNode *, int)"
11.2,19416448,551,35238.6,5151.0,1312,377787,74811.4,"gpucpg::relax_bu_step(int *, int *, float *, int *, int *, int, int)"
8.9,15347615,8,1918451.9,1918420.0,1900516,1949315,15161.1,"void cub::_V_300303_SM_1200::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300303_SM_1200::detail::radix_sort::policy_selector_from_types<unsigned long long, unsigned int, unsigned long long>, (cub::_V_300303_SM_1200::SortOrder)0, unsigned long long, unsigned int, unsigned long long, int, int, cub::_V_300303_SM_1200::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
4.4,7610733,16,475670.8,58047.0,1600,1779110,702368.8,"gpucpg::deferred_lpq_count_promoted(const gpucpg::tc_pfxt::DeferredLpqTile *, int, const float *, const gpucpg::PfxtNode *, float, int *)"
3.5,6102790,1,6102790.0,6102790.0,6102790,6102790,0.0,"gpucpg::count_tc_pfxt_bvss_interval_slices(const unsigned long long *, int, int *)"
3.2,5506067,452,12181.6,2080.0,1728,457657,40950.5,"gpucpg::count_tc_pfxt_source_local_tile_candidate_classes(int, const int4 *, const int *, const int *, const int *, const int *, const float *, const unsigned char *, const gpucpg::PfxtNode *, int, float, float, bool, bool, bool, unsigned long long *, unsigned char *)"
3.2,5443601,1,5443601.0,5443601.0,5443601,5443601,0.0,"gpucpg::fill_tc_pfxt_compact_deviations(int, const int *, const int *, const float *, const int *, const int *, const int *, int *, float *)"
2.6,4499806,1,4499806.0,4499806.0,4499806,4499806,0.0,"gpucpg::emit_tc_pfxt_bvss_edge_keys(int, const int *, const int *, const int *, unsigned long long *, unsigned int *)"
2.2,3855401,410,9403.4,3216.0,2559,250428,16893.2,"void cub::_V_300303_SM_1200::detail::for_each::static_kernel<cub::_V_300303_SM_1200::detail::for_each::policy_hub_t::policy_500_t, unsigned long, cub::_V_300303_SM_1200::detail::for_each::op_wrapper_t<unsigned long, thrust::_V_300303_SM_1200::detail::construct1_via_allocator<thrust::_V_300303_SM_1200::device_allocator<gpucpg::tc_pfxt::DeferredLpqTile>>, thrust::_V_300303_SM_1200::device_ptr<gpucpg::tc_pfxt::DeferredLpqTile>>>(T2, T3)"
2.0,3498827,15,233255.1,212029.0,96126,620982,124738.6,"gpucpg::fill_tc_pfxt_adaptive_scalar_candidates(int *, int, const int *, const int *, const int *, const int *, const float *, const unsigned char *, gpucpg::PfxtNode *, gpucpg::PfxtNode *, int, float, float, bool, bool, int *, int *, int, int, int *, const unsigned long long *)"
1.9,3233722,429,7537.8,1952.0,1184,351323,26478.6,"gpucpg::fill_tc_pfxt_source_local_tile_candidates(int, const int4 *, const int *, const int *, const int *, const int *, const int *, const float *, const unsigned char *, gpucpg::PfxtNode *, gpucpg::PfxtNode *, int, float, float, bool, bool, int *, int *, int, int, int *, const unsigned char *, bool, unsigned long long *, gpucpg::tc_pfxt::DeferredLpqTile *, int *, int, const unsigned long long *, unsigned long long *)"
