graph,k,pfxt_ms,mixed_tiles,mixed_long_products,coverage,products_per_descriptor,descriptor_to_avoided_bytes,replay_reduction,active_fraction,partition_mismatches,current_product_evals,selective_product_evals
M6,10000,18.3581,0,0,0,0,0,0,0,0,0,0
M6,100000,18.9475,0,0,0,0,0,0,0,0,0,0
M6,1000000,18.9621,0,0,0,0,0,0,0,0,0,0
cage15,10000,7.51575,0,0,0,0,0,0,0,0,0,0
cage15,100000,10.4119,0,0,0,0,0,0,0,0,0,0
cage15,1000000,19.0047,0,0,0,0,0,0,0,0,0,0
des_perf_base,10000,4.04505,0,0,0,0,0,0,0,0,0,0
des_perf_base,100000,5.13763,0,0,0,0,0,0,0,0,0,0
des_perf_base,1000000,27.233,0,0,0,0,0,0,0,0,0,0
des_perf_d30,10000,13.0866,3,0,0,0,0,0.968791,0.0151515,0,14323,447
des_perf_d30,100000,15.7944,0,0,0,0,0,0.969519,0.0145455,0,14665,447
des_perf_d30,1000000,52.2314,0,0,0,0,0,0.965155,0.0133333,0,15440,538
leon2_base,10000,2.9099,0,0,0,0,0,0,0,0,0,0
leon2_base,100000,4.64342,0,0,0,0,0,0,0,0,0,0
leon2_base,1000000,9.7033,0,0,0,0,0,0,0,0,0,0
leon2_d10,10000,17.8542,7233,154368,0.726543,8.4754,0.108396,0,0.307196,0,860757,861433
leon2_d10,100000,41.0341,25276,906248,0.758225,13.9589,0.0778066,0.609782,0.455526,0,65265048,25467610
leon2_d10,1000000,42.988,81248,15201699,0.733796,40.7876,0.0482967,0.124357,0.455552,0,65265720,57149468
leon2_d50,10000,46.3598,1239,21682,0.775897,7.10731,0.12261,0.752988,0.0751138,0,10208793,2521690
leon2_d50,100000,64.472,18238,754065,0.767147,15.1708,0.0742392,0.604413,0.106634,0,42506532,16815014
leon2_d50,1000000,118.437,155398,18340295,0.769932,32.8982,0.0514344,0.446352,0.177199,0,285031641,157807281
leon3mp_base,10000,3.47559,0,0,0,0,0,0,0,0,0,0
leon3mp_base,100000,6.93186,0,0,0,0,0,0,0,0,0,0
leon3mp_base,1000000,11.8757,0,0,0,0,0,0,0,0,0,0
leon3mp_d50,10000,34.6391,2423,37854,0.782163,6.3184,0.134074,0.746593,0.0375376,0,17396868,4408493
leon3mp_d50,100000,52.5364,11113,213108,0.774321,7.68186,0.115541,0.724568,0.147629,0,74664126,20564895
leon3mp_d50,1000000,76.2864,124451,8948496,0.765398,24.2634,0.0581846,0.454702,0.206047,0,347272935,189367317
netcard_base,10000,3.3593,0,0,0,0,0,0,0,0,0,0
netcard_base,100000,4.63099,0,0,0,0,0,0,0,0,0,0
netcard_base,1000000,7.16684,0,0,0,0,0,0,0,0,0,0
netcard_d30,10000,37.562,1172,19292,0.78022,6.77103,0.12717,0.736788,0.0916311,0,8091573,2129799
netcard_d30,100000,52.4444,20833,521652,0.754307,10.0126,0.0960737,0.619041,0.1417,0,33764097,12862748
netcard_d30,1000000,93.8632,136672,8195309,0.759153,21.3599,0.0620656,0.829016,0.0690324,0,2029955616,347089641
nlpkkt120,10000,1.61387,0,0,0,0,0,0,0,0,0,0
nlpkkt120,100000,1.68741,0,0,0,0,0,0,0,0,0,0
nlpkkt120,1000000,5.71598,0,0,0,0,0,0,0,0,0,0
vga_lcd_base,10000,3.37304,0,0,0,0,0,0.5,1,0,1312,656
vga_lcd_base,100000,3.49563,0,0,0,0,0,0.5,1,0,1312,656
vga_lcd_base,1000000,7.99694,0,0,0,0,0,0.5,1,0,1312,656
vga_lcd_d10,10000,11.8395,0,0,0,0,0,0,0,0,0,0
vga_lcd_d10,100000,18.4746,0,0,0,0,0,0,0,0,0,0
vga_lcd_d10,1000000,38.4338,0,0,0,0,0,0,0,0,0,0
