graph,density,k,baseline_mean_ms,deferred_mean_ms,speedup,retries,status
netcard,10,1000000,155.604,158.794,0.979911,0,PASS
netcard,20,1000000,320.181,169.008,1.894472,0,PASS
netcard,30,1000000,168.911,127.875,1.320907,0,PASS
netcard,40,1000000,288.061,125.662,2.292348,0,PASS
netcard,50,1000000,237.283,125.444,1.891545,0,PASS
leon2,10,1000000,160.31,156.559,1.023959,0,PASS
leon2,20,1000000,1395.83,317.872,4.391170,0,PASS
leon2,30,1000000,4573.89,3618.64,1.263980,16,PASS
leon2,40,1000000,423.61,327.709,1.292641,4,PASS
leon2,50,1000000,542.964,164.574,3.299209,0,PASS
leon3mp,10,1000000,594.929,289.299,2.056450,8,PASS
leon3mp,20,1000000,577.683,162.809,3.548225,0,PASS
leon3mp,30,1000000,184.918,151.184,1.223132,0,PASS
leon3mp,40,1000000,395.708,155.817,2.539569,0,PASS
leon3mp,50,1000000,346.356,107.895,3.210121,0,PASS
