case,outer_step,chain_substep,from_mode,to_mode
netcard_d30,9,1,normal,deferred
netcard_d40,2,1,normal,deferred
netcard_d50,2,1,normal,deferred
leon2_d10,6,1,normal,deferred
leon2_d10,6,7,deferred,normal
leon2_d10,6,1,normal,deferred
leon2_d10,6,7,deferred,normal
leon2_d10,6,1,normal,deferred
leon2_d10,6,6,deferred,normal
leon2_d10,6,1,normal,deferred
leon2_d10,6,6,deferred,normal
leon2_d10,6,1,normal,deferred
leon2_d10,6,6,deferred,normal
leon2_d10,7,1,normal,deferred
leon2_d10,7,6,deferred,normal
leon2_d10,7,1,normal,deferred
leon2_d10,7,5,deferred,normal
leon2_d10,7,1,normal,deferred
leon2_d10,7,5,deferred,normal
leon2_d10,7,1,normal,deferred
leon2_d10,7,5,deferred,normal
leon2_d10,7,1,normal,deferred
leon2_d10,7,5,deferred,normal
leon2_d10,7,1,normal,deferred
leon2_d10,7,5,deferred,normal
leon2_d10,7,1,normal,deferred
leon2_d10,7,4,deferred,normal
leon2_d10,8,1,normal,deferred
leon2_d10,8,5,deferred,normal
leon2_d10,8,1,normal,deferred
leon2_d10,8,5,deferred,normal
leon2_d10,8,1,normal,deferred
leon2_d10,8,5,deferred,normal
leon2_d10,8,1,normal,deferred
leon2_d10,8,5,deferred,normal
leon2_d10,8,1,normal,deferred
leon2_d10,8,5,deferred,normal
leon2_d10,8,1,normal,deferred
leon2_d10,8,4,deferred,normal
leon2_d10,8,1,normal,deferred
leon2_d10,8,4,deferred,normal
leon2_d10,8,1,normal,deferred
leon2_d10,8,4,deferred,normal
leon2_d20,2,1,normal,deferred
leon2_d20,2,6,deferred,normal
leon2_d20,3,1,normal,deferred
leon2_d20,3,6,deferred,normal
leon2_d20,4,1,normal,deferred
leon2_d20,4,6,deferred,normal
leon2_d20,5,1,normal,deferred
leon2_d20,5,6,deferred,normal
leon2_d20,5,1,normal,deferred
leon2_d20,5,5,deferred,normal
leon2_d20,6,1,normal,deferred
leon2_d20,6,6,deferred,normal
leon2_d20,6,1,normal,deferred
leon2_d20,6,6,deferred,normal
leon2_d20,7,1,normal,deferred
leon2_d20,7,6,deferred,normal
leon2_d20,7,1,normal,deferred
leon2_d20,7,5,deferred,normal
leon2_d20,8,1,normal,deferred
leon2_d20,8,5,deferred,normal
leon2_d20,8,1,normal,deferred
leon2_d20,8,5,deferred,normal
leon2_d20,9,1,normal,deferred
leon2_d20,9,5,deferred,normal
leon2_d20,9,1,normal,deferred
leon2_d20,9,5,deferred,normal
leon2_d20,9,1,normal,deferred
leon2_d20,9,7,deferred,normal
leon2_d20,9,1,normal,deferred
leon2_d20,9,6,deferred,normal
leon2_d20,10,1,normal,deferred
leon2_d20,10,7,deferred,normal
leon2_d20,10,1,normal,deferred
leon2_d20,10,6,deferred,normal
leon2_d20,10,1,normal,deferred
leon2_d20,10,6,deferred,normal
leon2_d20,10,1,normal,deferred
leon2_d20,10,5,deferred,normal
leon2_d20,10,1,normal,deferred
leon2_d20,10,5,deferred,normal
leon2_d20,11,1,normal,deferred
leon2_d20,11,6,deferred,normal
leon2_d20,11,1,normal,deferred
leon2_d20,11,6,deferred,normal
leon2_d20,11,1,normal,deferred
leon2_d20,11,5,deferred,normal
leon2_d20,11,1,normal,deferred
leon2_d20,11,5,deferred,normal
leon2_d20,11,1,normal,deferred
leon2_d20,11,4,deferred,normal
leon2_d20,12,1,normal,deferred
leon2_d20,12,6,deferred,normal
leon2_d20,12,1,normal,deferred
leon2_d20,12,5,deferred,normal
leon2_d20,12,1,normal,deferred
leon2_d20,12,5,deferred,normal
leon2_d20,12,1,normal,deferred
leon2_d20,12,5,deferred,normal
leon2_d20,12,1,normal,deferred
leon2_d20,12,4,deferred,normal
leon2_d20,12,1,normal,deferred
leon2_d20,12,4,deferred,normal
leon2_d30,8,1,normal,deferred
leon2_d30,8,3,deferred,normal
leon2_d30,16,1,normal,deferred
leon2_d30,16,4,deferred,normal
leon2_d30,17,1,normal,deferred
leon2_d30,17,9,deferred,normal
leon2_d30,17,1,normal,deferred
leon2_d30,17,8,deferred,normal
leon2_d30,17,1,normal,deferred
leon2_d30,17,8,deferred,normal
leon2_d30,17,1,normal,deferred
leon2_d30,17,7,deferred,normal
leon2_d30,17,1,normal,deferred
leon2_d30,17,6,deferred,normal
leon2_d30,17,1,normal,deferred
leon2_d30,17,6,deferred,normal
leon2_d30,17,1,normal,deferred
leon2_d30,17,5,deferred,normal
leon2_d30,17,1,normal,deferred
leon2_d30,17,5,deferred,normal
leon2_d30,17,1,normal,deferred
leon2_d30,17,4,deferred,normal
leon2_d30,17,1,normal,deferred
leon2_d30,17,4,deferred,normal
leon2_d30,17,1,normal,deferred
leon2_d30,17,4,deferred,normal
leon2_d40,6,1,normal,deferred
leon2_d40,6,3,deferred,normal
leon2_d40,7,1,normal,deferred
leon2_d40,7,3,deferred,normal
leon2_d40,9,1,normal,deferred
leon2_d40,9,3,deferred,normal
leon2_d40,12,1,normal,deferred
leon2_d40,12,3,deferred,normal
leon2_d40,16,1,normal,deferred
leon2_d40,16,7,deferred,normal
leon2_d40,16,1,normal,deferred
leon2_d40,16,6,deferred,normal
leon2_d40,16,1,normal,deferred
leon2_d40,16,6,deferred,normal
leon2_d40,16,1,normal,deferred
leon2_d40,16,6,deferred,normal
leon2_d40,16,1,normal,deferred
leon2_d40,16,7,deferred,normal
leon2_d40,16,1,normal,deferred
leon2_d40,16,6,deferred,normal
leon2_d40,16,1,normal,deferred
leon2_d40,16,7,deferred,normal
leon2_d40,16,1,normal,deferred
leon2_d50,2,1,normal,deferred
leon2_d50,2,3,deferred,normal
leon2_d50,5,1,normal,deferred
leon2_d50,5,2,deferred,normal
leon2_d50,6,1,normal,deferred
leon2_d50,6,1,deferred,normal
leon2_d50,7,1,normal,deferred
leon2_d50,7,9,deferred,normal
leon2_d50,8,1,normal,deferred
leon3mp_d40,4,1,normal,deferred
leon3mp_d40,4,2,deferred,normal
leon3mp_d40,7,1,normal,deferred
leon3mp_d40,7,2,deferred,normal
leon3mp_d40,9,1,normal,deferred
leon3mp_d40,9,6,deferred,normal
leon3mp_d40,11,1,normal,deferred
leon3mp_d40,11,7,deferred,normal
leon3mp_d40,11,1,normal,deferred
leon3mp_d40,11,7,deferred,normal
leon3mp_d40,12,1,normal,deferred
leon3mp_d40,12,7,deferred,normal
leon3mp_d40,12,1,normal,deferred
leon3mp_d40,12,7,deferred,normal
leon3mp_d40,12,1,normal,deferred
leon3mp_d40,12,7,deferred,normal
leon3mp_d40,12,1,normal,deferred
leon3mp_d40,12,5,deferred,normal
leon3mp_d40,12,1,normal,deferred
leon3mp_d40,12,4,deferred,normal
leon3mp_d40,13,1,normal,deferred
leon3mp_d40,13,7,deferred,normal
leon3mp_d40,13,1,normal,deferred
leon3mp_d40,13,7,deferred,normal
leon3mp_d40,13,1,normal,deferred
leon3mp_d40,13,7,deferred,normal
leon3mp_d40,13,1,normal,deferred
leon3mp_d40,13,6,deferred,normal
leon3mp_d40,13,1,normal,deferred
leon3mp_d40,13,5,deferred,normal
leon3mp_d40,13,1,normal,deferred
leon3mp_d40,13,5,deferred,normal
leon3mp_d40,14,1,normal,deferred
leon3mp_d40,14,7,deferred,normal
leon3mp_d40,14,1,normal,deferred
leon3mp_d40,14,7,deferred,normal
leon3mp_d40,14,1,normal,deferred
leon3mp_d40,14,6,deferred,normal
leon3mp_d40,14,1,normal,deferred
leon3mp_d40,14,6,deferred,normal
