case,gpg_ms,gpg_deferred_ms,adaptive_ms,adaptive_vs_gpg_speedup,gpg_deferred_vs_gpg_speedup,normal_steps,deferred_steps,switches
netcard_base,7.216810,24.488400,6.919330,1.0430,0.2947,35,0,0
netcard_d10,39.157200,138.520000,30.653400,1.2774,0.2827,39,0,0
netcard_d20,87.853700,160.081000,66.153900,1.3280,0.5488,50,0,0
netcard_d30,111.270000,104.835000,88.077800,1.2633,1.0614,15,452,1
netcard_d40,158.148000,110.315000,101.681000,1.5553,1.4336,1,476,1
netcard_d50,373.816000,115.259000,103.810000,3.6010,3.2433,1,497,1
leon2_d10,54.715000,87.034000,41.285200,1.3253,0.6287,26,84,40
leon2_d20,259.643000,106.820000,59.722700,4.3475,2.4307,32,138,62
leon2_d30,4794.940000,1938.810000,1068.200000,4.4888,2.4731,51,60,26
leon2_d40,131.451000,123.422000,75.287300,1.7460,1.0651,46,62,23
leon2_d50,147.379000,129.109000,113.849000,1.2945,1.1415,11,480,9
leon3mp_d10,84.257300,199.184000,75.053200,1.1226,0.4230,41,0,0
leon3mp_d20,90.986300,185.879000,61.167700,1.4875,0.4895,48,0,0
leon3mp_d30,122.440000,130.240000,83.806300,1.4610,0.9401,55,0,0
leon3mp_d40,212.949000,127.894000,71.760400,2.9675,1.6650,45,112,46
leon3mp_d50,151.637000,78.033600,71.574100,2.1186,1.9432,3,389,3
vga_lcd_d10,48.452700,96.673400,37.886400,1.2789,0.5012,48,0,0
vga_lcd_d20,109.070000,138.305000,73.799600,1.4779,0.7886,56,1,2
vga_lcd_d30,75.522600,99.456500,46.211100,1.6343,0.7594,46,1,2
vga_lcd_d40,98.201000,124.854000,93.330700,1.0522,0.7865,53,3,4
vga_lcd_d50,125.245000,89.013600,58.980300,2.1235,1.4070,44,9,16
des_perf_d10,80.386500,142.345000,42.836600,1.8766,0.5647,49,1,1
des_perf_d20,32.243300,85.093100,21.853000,1.4755,0.3789,51,1,1
des_perf_d30,74.121000,77.917200,52.463800,1.4128,0.9513,47,2,3
des_perf_d40,96.645600,74.486400,72.252900,1.3376,1.2975,4,386,7
des_perf_d50,90.989500,74.376600,71.965400,1.2644,1.2234,5,330,8
cage15,22.703100,110.878000,18.982200,1.1960,0.2048,49,0,0
M6,67.541400,75.053400,18.343600,3.6820,0.8999,14,0,0
nlpkkt120,5.942730,10.900100,5.622080,1.0570,0.5452,2,0,0
