case,mode,mean_pfxt_ms,min_pfxt_ms,max_pfxt_ms
netcard_base,gpg,7.21681,7.0982,7.39747
netcard_base,gpg-deferred,24.4884,24.4363,24.528
netcard_base,adaptive,6.91933,6.89442,6.9512
netcard_d10,gpg,39.1572,38.8741,39.6337
netcard_d10,gpg-deferred,138.52,138.483,138.579
netcard_d10,adaptive,30.6534,30.5099,30.749
netcard_d20,gpg,87.8537,87.4959,88.1294
netcard_d20,gpg-deferred,160.081,159.557,160.633
netcard_d20,adaptive,66.1539,66.109,66.2054
netcard_d30,gpg,111.27,111.215,111.33
netcard_d30,gpg-deferred,104.835,104.703,104.904
netcard_d30,adaptive,88.0778,87.9783,88.1333
netcard_d40,gpg,158.148,157.955,158.428
netcard_d40,gpg-deferred,110.315,109.878,110.553
netcard_d40,adaptive,101.681,100.609,102.814
netcard_d50,gpg,373.816,373.273,374.092
netcard_d50,gpg-deferred,115.259,115.143,115.488
netcard_d50,adaptive,103.81,103.52,104.05
leon2_d10,gpg,54.715,54.2608,55.1522
leon2_d10,gpg-deferred,87.034,86.8167,87.1559
leon2_d10,adaptive,41.2852,41.1547,41.4107
leon2_d20,gpg,259.643,259.453,259.766
leon2_d20,gpg-deferred,106.82,106.659,107.125
leon2_d20,adaptive,59.7227,59.401,60.1516
leon2_d30,gpg,4794.94,4777.59,4808.02
leon2_d30,gpg-deferred,1938.81,1929.11,1957.86
leon2_d30,adaptive,1068.2,1056.26,1075.12
leon2_d40,gpg,131.451,130.621,131.906
leon2_d40,gpg-deferred,123.422,123.114,123.744
leon2_d40,adaptive,75.2873,74.7872,75.5809
leon2_d50,gpg,147.379,146.678,148.207
leon2_d50,gpg-deferred,129.109,128.557,129.663
leon2_d50,adaptive,113.849,113.191,114.329
leon3mp_d10,gpg,84.2573,83.7166,84.7165
leon3mp_d10,gpg-deferred,199.184,199.129,199.256
leon3mp_d10,adaptive,75.0532,74.5168,75.6395
leon3mp_d20,gpg,90.9863,90.953,91.0112
leon3mp_d20,gpg-deferred,185.879,185.629,186.154
leon3mp_d20,adaptive,61.1677,61.1201,61.248
leon3mp_d30,gpg,122.44,122.381,122.52
leon3mp_d30,gpg-deferred,130.24,130.017,130.409
leon3mp_d30,adaptive,83.8063,83.7497,83.9159
leon3mp_d40,gpg,212.949,212.58,213.14
leon3mp_d40,gpg-deferred,127.894,127.006,129.382
leon3mp_d40,adaptive,71.7604,71.6414,71.8404
leon3mp_d50,gpg,151.637,151.598,151.677
leon3mp_d50,gpg-deferred,78.0336,78.004,78.0745
leon3mp_d50,adaptive,71.5741,71.3789,71.9529
vga_lcd_d10,gpg,48.4527,48.2878,48.5606
vga_lcd_d10,gpg-deferred,96.6734,96.4322,96.8994
vga_lcd_d10,adaptive,37.8864,37.8498,37.9128
vga_lcd_d20,gpg,109.07,108.852,109.431
vga_lcd_d20,gpg-deferred,138.305,138.2,138.419
vga_lcd_d20,adaptive,73.7996,73.6038,73.8983
vga_lcd_d30,gpg,75.5226,75.2876,75.6767
vga_lcd_d30,gpg-deferred,99.4565,99.0696,100.134
vga_lcd_d30,adaptive,46.2111,46.1224,46.2604
vga_lcd_d40,gpg,98.201,98.1647,98.2363
vga_lcd_d40,gpg-deferred,124.854,124.654,125.098
vga_lcd_d40,adaptive,93.3307,92.7118,93.6894
vga_lcd_d50,gpg,125.245,124.911,125.78
vga_lcd_d50,gpg-deferred,89.0136,88.6667,89.4699
vga_lcd_d50,adaptive,58.9803,58.5279,59.2739
des_perf_d10,gpg,80.3865,79.9659,80.7808
des_perf_d10,gpg-deferred,142.345,141.832,142.649
des_perf_d10,adaptive,42.8366,42.6817,42.9448
des_perf_d20,gpg,32.2433,32.1031,32.3597
des_perf_d20,gpg-deferred,85.0931,84.7787,85.2913
des_perf_d20,adaptive,21.853,21.765,21.9563
des_perf_d30,gpg,74.121,74.0179,74.2653
des_perf_d30,gpg-deferred,77.9172,76.2468,80.2226
des_perf_d30,adaptive,52.4638,52.3879,52.5239
des_perf_d40,gpg,96.6456,96.516,96.8047
des_perf_d40,gpg-deferred,74.4864,74.407,74.5349
des_perf_d40,adaptive,72.2529,72.0598,72.4217
des_perf_d50,gpg,90.9895,90.6549,91.3177
des_perf_d50,gpg-deferred,74.3766,74.2453,74.4859
des_perf_d50,adaptive,71.9654,71.9249,72.0056
cage15,gpg,22.7031,22.4469,23.1841
cage15,gpg-deferred,110.878,110.678,111.166
cage15,adaptive,18.9822,18.8635,19.1468
M6,gpg,67.5414,66.3898,69.494
M6,gpg-deferred,75.0534,74.8777,75.2934
M6,adaptive,18.3436,18.2454,18.4017
nlpkkt120,gpg,5.94273,5.88552,6.00699
nlpkkt120,gpg-deferred,10.9001,10.876,10.9286
nlpkkt120,adaptive,5.62208,5.53708,5.76301
