case,gpg_pfxt_ms,adaptive_production_pfxt_ms,cold_setup_ms,cold_pfxt_ms,cold_end_to_end_ms,reused_setup_ms,decision_ms,core_pfxt_ms,profiled_total_pfxt_ms,profiler_overhead_ms,reused_speedup_vs_gpg,cold_speedup_vs_gpg
netcard_base,7.216810,6.919330,714.382000,7.453190,721.835190,0.000000,0.720565,6.340957,7.061523,0.142193,1.0430,0.0100
netcard_d10,39.157200,30.653400,16996.500000,31.409800,17027.909800,0.000000,1.473430,29.365167,30.838567,0.185167,1.2774,0.0023
netcard_d20,87.853700,66.153900,43415.600000,67.184200,43482.784200,0.000000,1.319787,65.251433,66.571200,0.417300,1.3280,0.0020
netcard_d30,111.270000,88.077800,84692.900000,100.250000,84793.150000,0.000000,0.236235,98.313633,98.549867,10.472067,1.2633,0.0013
netcard_d40,158.148000,101.681000,106216.000000,112.056000,106328.056000,0.000000,0.143925,113.124000,113.268333,11.587333,1.5553,0.0015
netcard_d50,373.816000,103.810000,138224.000000,115.954000,138339.954000,0.000000,0.141504,116.983333,117.125000,13.315000,3.6010,0.0027
leon2_d10,54.715000,41.285200,19140.700000,44.594200,19185.294200,0.000000,4.713023,38.546533,43.259567,1.974367,1.3253,0.0029
leon2_d20,259.643000,59.722700,47816.500000,63.824900,47880.324900,0.000000,4.981027,58.195167,63.176167,3.453467,4.3475,0.0054
leon2_d30,4794.940000,1068.200000,80765.000000,1079.850000,81844.850000,0.000000,20.894800,1052.756667,1073.646667,5.446667,4.4888,0.0586
leon2_d40,131.451000,75.287300,114506.000000,78.463700,114584.463700,0.000000,6.613790,70.430100,77.043900,1.756600,1.7460,0.0011
leon2_d50,147.379000,113.849000,148220.000000,125.176000,148345.176000,0.000000,0.437173,124.939667,125.376667,11.527667,1.2945,0.0010
leon3mp_d10,84.257300,75.053200,14001.600000,75.639500,14077.239500,0.000000,1.083350,73.860733,74.944100,-0.109100,1.1226,0.0060
leon3mp_d20,90.986300,61.167700,36044.900000,62.192700,36107.092700,0.000000,1.380470,60.152067,61.532533,0.364833,1.4875,0.0025
leon3mp_d30,122.440000,83.806300,60640.200000,84.629200,60724.829200,0.000000,1.477153,82.853133,84.330300,0.524000,1.4610,0.0020
leon3mp_d40,212.949000,71.760400,89095.300000,75.400300,89170.700300,0.000000,6.252823,68.435867,74.688700,2.928300,2.9675,0.0024
leon3mp_d50,151.637000,71.574100,117511.000000,81.997100,117592.997100,0.000000,0.279616,80.729767,81.009367,9.435267,2.1186,0.0013
vga_lcd_d10,48.452700,37.886400,1232.830000,39.108200,1271.938200,0.000000,1.272810,36.868633,38.141467,0.255067,1.2789,0.0381
vga_lcd_d20,109.070000,73.799600,3034.140000,75.533800,3109.673800,0.000000,1.932290,72.812900,74.745167,0.945567,1.4779,0.0351
vga_lcd_d30,75.522600,46.211100,5104.340000,47.192500,5151.532500,0.000000,1.243520,45.297167,46.540733,0.329633,1.6343,0.0147
vga_lcd_d40,98.201000,93.330700,7133.980000,94.593400,7228.573400,0.000000,2.166710,91.816400,93.983133,0.652433,1.0522,0.0136
vga_lcd_d50,125.245000,58.980300,9410.660000,59.914300,9470.574300,0.000000,1.245557,57.917967,59.163500,0.183200,2.1235,0.0132
des_perf_d10,80.386500,42.836600,1015.830000,43.865200,1059.695200,0.000000,2.137780,40.584033,42.721800,-0.114800,1.8766,0.0759
des_perf_d20,32.243300,21.853000,2479.330000,22.954000,2502.284000,0.000000,1.085213,20.864133,21.949367,0.096367,1.4755,0.0129
des_perf_d30,74.121000,52.463800,4189.690000,53.738900,4243.428900,0.000000,1.065227,51.327733,52.392933,-0.070867,1.4128,0.0175
des_perf_d40,96.645600,72.252900,5862.270000,80.678100,5942.948100,0.000000,0.188256,79.509200,79.697467,7.444567,1.3376,0.0163
des_perf_d50,90.989500,71.965400,7647.920000,79.092000,7727.012000,0.000000,0.491957,77.361067,77.853067,5.887667,1.2644,0.0118
cage15,22.703100,18.982200,9544.750000,19.689200,9564.439200,0.000000,0.933941,18.134800,19.068767,0.086567,1.1960,0.0024
M6,67.541400,18.343600,2633.850000,18.833000,2652.683000,0.000000,1.282507,17.054267,18.336767,-0.006833,3.6820,0.0255
nlpkkt120,5.942730,5.622080,3227.750000,5.905730,3233.655730,0.000000,0.151851,5.449603,5.601457,-0.020623,1.0570,0.0018
